,id,target
2,TEST_000002,66.7266674326568
5,TEST_000005,50.97960022351776
14,TEST_000014,30.51978051480446
28,TEST_000028,34.457635432946276
50,TEST_000050,40.76190882293013
53,TEST_000053,51.73199870207879
57,TEST_000057,51.967727082749896
58,TEST_000058,38.74768834742218
63,TEST_000063,57.49141357618197
65,TEST_000065,24.453296606437817
75,TEST_000075,42.36108095403182
77,TEST_000077,53.624579901073545
82,TEST_000082,46.20881792566447
86,TEST_000086,49.00927514849522
101,TEST_000101,48.304626606578566
114,TEST_000114,36.770421030560755
127,TEST_000127,26.29233953092361
128,TEST_000128,39.66739224176772
136,TEST_000136,58.34036168252194
142,TEST_000142,23.28496974176919
143,TEST_000143,38.57368654170821
145,TEST_000145,57.52640614617504
150,TEST_000150,35.78623737160855
163,TEST_000163,55.6546388559796
173,TEST_000173,40.09820298209469
185,TEST_000185,35.681385169261375
190,TEST_000190,46.89568442776636
191,TEST_000191,56.257802836357314
194,TEST_000194,35.25157146164961
204,TEST_000204,44.63915371960385
205,TEST_000205,46.48634479990557
213,TEST_000213,52.90873095062455
216,TEST_000216,54.55086589303912
217,TEST_000217,52.09282684715714
219,TEST_000219,32.196742854512244
223,TEST_000223,37.923380059339074
227,TEST_000227,31.98807683021887
254,TEST_000254,19.173235253838193
255,TEST_000255,37.24967461929868
260,TEST_000260,41.17397475648322
261,TEST_000261,33.682814116276404
276,TEST_000276,30.13524565920464
280,TEST_000280,19.24015799038584
281,TEST_000281,39.75003622958672
296,TEST_000296,58.48041881446826
298,TEST_000298,55.29193607325079
300,TEST_000300,47.277395216511486
308,TEST_000308,46.448619576917224
311,TEST_000311,30.95289003388918
314,TEST_000314,54.49876098604101
319,TEST_000319,53.77038523117044
322,TEST_000322,34.35652545761964
327,TEST_000327,27.82152153118609
340,TEST_000340,45.02950651848875
341,TEST_000341,42.63463171726116
343,TEST_000343,51.857969382645805
351,TEST_000351,30.612187492246484
355,TEST_000355,58.767592111691066
362,TEST_000362,50.937734720121796
369,TEST_000369,54.00025756994413
371,TEST_000371,47.74916951363928
372,TEST_000372,44.36729015049869
373,TEST_000373,29.027213884972895
374,TEST_000374,25.65926674438214
378,TEST_000378,34.97117765173695
385,TEST_000385,56.01156886387676
390,TEST_000390,22.450182029482466
395,TEST_000395,30.579070685095413
402,TEST_000402,22.34015112858754
410,TEST_000410,29.258119683198018
412,TEST_000412,77.33694332240289
417,TEST_000417,43.9749216584652
445,TEST_000445,48.04635443414225
446,TEST_000446,25.381116748507488
456,TEST_000456,31.43468437042158
460,TEST_000460,47.28469587186126
469,TEST_000469,57.53664412255534
478,TEST_000478,59.73503726654546
479,TEST_000479,28.279603018035314
481,TEST_000481,49.70559507313758
492,TEST_000492,45.51991815854918
495,TEST_000495,32.71300916738208
530,TEST_000530,62.91065158595224
532,TEST_000532,27.436789895869033
534,TEST_000534,47.891065371585846
538,TEST_000538,57.3473404782423
552,TEST_000552,45.05578947773042
556,TEST_000556,57.655478124102544
559,TEST_000559,43.91326065703492
564,TEST_000564,31.83984724617907
565,TEST_000565,49.78339719807259
568,TEST_000568,60.399265798076904
569,TEST_000569,43.97446585081802
576,TEST_000576,35.67033084455278
584,TEST_000584,54.51632521418038
599,TEST_000599,41.62536595086306
605,TEST_000605,30.412369123379428
608,TEST_000608,55.83377360657556
619,TEST_000619,54.129342340739385
624,TEST_000624,50.039252514743595
629,TEST_000629,45.369162409377616
644,TEST_000644,77.04002600861573
660,TEST_000660,32.6808348834866
669,TEST_000669,25.671971970993017
672,TEST_000672,18.53915873434541
673,TEST_000673,30.629723742190105
674,TEST_000674,38.28695689985685
675,TEST_000675,26.37612162722361
676,TEST_000676,43.62379001151298
677,TEST_000677,36.802836590978906
678,TEST_000678,33.16825148886824
687,TEST_000687,35.04897509814659
708,TEST_000708,29.543101165573468
715,TEST_000715,41.79443903845381
719,TEST_000719,45.32306250223388
723,TEST_000723,40.4172375877498
725,TEST_000725,48.98397588152885
733,TEST_000733,20.656213834230957
734,TEST_000734,56.02612926230635
735,TEST_000735,48.615120243245556
738,TEST_000738,34.02346716156704
749,TEST_000749,34.55219668056928
751,TEST_000751,38.04243962783828
752,TEST_000752,39.91980271943816
755,TEST_000755,38.9464885975076
760,TEST_000760,28.972148757924156
761,TEST_000761,55.06689631140253
765,TEST_000765,41.70343040599486
771,TEST_000771,76.661322377994
772,TEST_000772,52.71174854961081
777,TEST_000777,55.91123380165946
779,TEST_000779,60.467346888091235
782,TEST_000782,29.821999312622356
