,id,target
7,TEST_000007,70.345
26,TEST_000026,77.77000000000001
36,TEST_000036,57.004999999999995
49,TEST_000049,69.515
81,TEST_000081,53.364999999999995
92,TEST_000092,66.22
93,TEST_000093,31.035
178,TEST_000178,58.555
238,TEST_000238,53.755
251,TEST_000251,46.715
256,TEST_000256,60.22
325,TEST_000325,58.355000000000004
394,TEST_000394,74.495
401,TEST_000401,59.480000000000004
438,TEST_000438,67.125
557,TEST_000557,48.980000000000004
581,TEST_000581,60.165
607,TEST_000607,56.175
685,TEST_000685,67.095
740,TEST_000740,50.5
757,TEST_000757,73.19999999999999
807,TEST_000807,57.129999999999995
841,TEST_000841,47.985
885,TEST_000885,55.455
933,TEST_000933,56.06
948,TEST_000948,67.25999999999999
979,TEST_000979,69.59
1011,TEST_001011,54.519999999999996
1049,TEST_001049,55.05
1095,TEST_001095,70.72999999999999
1097,TEST_001097,37.06
1166,TEST_001166,38.815
1204,TEST_001204,32.215
1265,TEST_001265,55.54
1271,TEST_001271,66.92
1338,TEST_001338,21.979999999999997
1342,TEST_001342,53.364999999999995
1372,TEST_001372,75.235
1384,TEST_001384,77.435
1409,TEST_001409,52.32
1451,TEST_001451,53.540000000000006
1470,TEST_001470,58.33
1477,TEST_001477,47.17
1480,TEST_001480,56.790000000000006
1559,TEST_001559,34.775000000000006
1657,TEST_001657,56.595
1672,TEST_001672,52.04
1694,TEST_001694,64.475
1696,TEST_001696,48.614999999999995
1700,TEST_001700,75.875
1720,TEST_001720,49.82
1741,TEST_001741,18.67
1799,TEST_001799,76.005
1800,TEST_001800,60.760000000000005
1801,TEST_001801,17.1
1835,TEST_001835,48.035
1849,TEST_001849,66.30000000000001
1886,TEST_001886,40.585
1897,TEST_001897,59.18
1967,TEST_001967,71.02
1979,TEST_001979,31.78
2006,TEST_002006,77.12
2012,TEST_002012,70.19
2039,TEST_002039,46.155
2058,TEST_002058,64.75999999999999
2083,TEST_002083,57.739999999999995
2089,TEST_002089,55.285
2101,TEST_002101,58.599999999999994
2132,TEST_002132,37.724999999999994
2156,TEST_002156,23.015
2161,TEST_002161,56.95
2179,TEST_002179,78.11
2184,TEST_002184,53.25
2194,TEST_002194,68.405
2224,TEST_002224,51.215
2261,TEST_002261,56.03
2280,TEST_002280,77.93
2333,TEST_002333,56.2
2338,TEST_002338,71.80000000000001
2356,TEST_002356,75.755
2359,TEST_002359,25.060000000000002
2369,TEST_002369,44.815
2372,TEST_002372,58.56
2418,TEST_002418,70.275
2567,TEST_002567,47.975
2569,TEST_002569,57.120000000000005
2595,TEST_002595,56.07
2597,TEST_002597,49.56
2613,TEST_002613,68.36
2648,TEST_002648,56.485
2656,TEST_002656,81.545
2660,TEST_002660,71.035
2687,TEST_002687,56.004999999999995
2695,TEST_002695,71.15
2697,TEST_002697,71.78999999999999
2799,TEST_002799,16.65
2801,TEST_002801,53.94
2830,TEST_002830,60.385000000000005
2926,TEST_002926,77.945
2956,TEST_002956,55.675
3077,TEST_003077,56.74
3117,TEST_003117,21.265
3174,TEST_003174,59.85
3188,TEST_003188,75.26
3200,TEST_003200,70.13499999999999
3241,TEST_003241,25.740000000000002
3254,TEST_003254,64.805
3307,TEST_003307,37.595
3311,TEST_003311,49.6
3344,TEST_003344,78.37
3349,TEST_003349,70.145
3351,TEST_003351,75.78999999999999
3391,TEST_003391,68.72999999999999
3415,TEST_003415,69.535
3434,TEST_003434,70.5
3440,TEST_003440,57.43
3446,TEST_003446,51.53
3507,TEST_003507,56.724999999999994
3542,TEST_003542,78.21000000000001
3562,TEST_003562,75.025
3647,TEST_003647,45.599999999999994
3651,TEST_003651,72.59
3713,TEST_003713,64.82
3744,TEST_003744,75.94
3752,TEST_003752,47.68
3756,TEST_003756,55.32
3762,TEST_003762,66.98
3819,TEST_003819,18.799999999999997
3838,TEST_003838,56.760000000000005
3857,TEST_003857,69.91499999999999
3870,TEST_003870,56.760000000000005
3925,TEST_003925,57.004999999999995
3963,TEST_003963,77.62
3986,TEST_003986,64.77000000000001
4111,TEST_004111,21.655
4125,TEST_004125,58.775
4127,TEST_004127,71.325
4146,TEST_004146,49.754999999999995
4154,TEST_004154,58.34
4184,TEST_004184,23.4
