iter	RMSE
0	1650.088722
1	1574.690374
2	1507.842879
3	1446.877703
4	1393.602517
5	1345.631409
6	1302.252691
7	1263.414643
8	1230.608549
9	1200.007569
10	1172.687341
11	1148.049688
12	1126.235996
13	1107.277373
14	1090.52841
15	1076.561592
16	1062.939605
17	1050.837774
18	1040.342269
19	1029.732439
20	1020.692422
21	1012.864381
22	1005.563381
23	999.6366942
24	994.0388943
25	986.8214105
26	982.2664226
27	976.7201444
28	970.9714714
29	966.585386
30	962.9418475
31	959.5509797
32	956.6114568
33	953.6529392
34	950.5250675
35	948.1109962
36	945.913887
37	943.0655606
38	939.7747703
39	937.9811556
40	935.3733004
41	933.5197791
42	932.1771531
43	930.724058
44	927.9114632
45	924.7974013
46	922.634716
47	920.6035019
48	919.5023961
49	916.8565421
50	915.279123
51	913.6249056
52	911.792864
53	910.5475886
54	908.415505
55	906.7592248
56	905.4295367
57	904.5269564
58	903.8321582
59	903.1324984
60	902.3619537
61	901.3604608
62	900.6142564
63	899.6446672
64	898.7195295
65	897.6871208
66	896.4424607
67	895.6783003
68	895.0374936
69	894.2838363
70	892.9884421
71	891.3445663
72	890.2425819
73	889.0687124
74	888.0635551
75	887.4838319
76	887.0993903
77	885.3535219
78	884.6165223
79	883.7583834
80	883.0301206
81	881.9248272
82	881.4640877
83	880.4291737
84	879.6568802
85	879.2485237
86	878.3580261
87	877.9585132
88	877.110601
89	876.4400535
90	875.871967
91	875.5193868
92	874.776545
93	874.3931292
94	873.5112504
95	872.8619307
96	872.0067866
97	871.180354
98	870.4227587
99	870.0038994
100	869.2495032
101	868.6931252
102	868.098994
103	867.5625213
104	866.9937989
105	866.4511187
106	865.8883874
107	865.2562123
108	864.780572
109	864.3985397
110	864.1807804
111	864.0716962
112	863.6058001
113	863.0176612
114	862.4320374
115	861.9928668
116	861.3982237
117	860.665965
118	860.2387419
119	859.4525932
120	859.0194691
121	858.4709825
122	858.1616774
123	857.7222937
124	856.9249013
125	856.5910332
126	856.0346276
127	855.4002039
128	854.7662689
129	854.0709138
130	853.8552694
131	853.3929873
132	852.7514593
133	852.1845181
134	851.8055835
135	851.6812329
136	851.3576923
137	850.9483114
138	850.5883915
139	850.1720968
140	849.7935914
141	849.4486182
142	849.3082299
143	848.9630403
144	848.4665837
145	848.0353315
146	847.6177035
147	847.1162792
148	846.6863999
149	846.4523861
150	846.1915189
151	845.6541572
152	845.3646479
153	845.167504
154	844.5873049
155	844.2296279
156	843.8143613
157	843.4237503
158	842.9197066
159	842.5329235
160	841.8284569
161	841.5859933
162	841.2018942
163	840.8900978
164	840.4154576
165	840.0673916
166	839.4362179
167	839.2648471
168	839.0049589
169	838.3555429
170	837.9520293
171	837.4157458
172	837.0673155
173	836.6628052
174	836.0855068
175	835.6196275
176	835.455635
177	835.1044628
178	834.810362
179	834.3505565
180	833.9045803
181	833.2334169
182	832.7198493
183	832.3054929
184	831.9696448
185	831.4916537
186	831.2249581
187	830.8204122
188	830.3246436
189	829.9823801
190	829.7626122
191	829.4404009
192	829.1347263
193	828.9045177
194	828.7834338
195	828.3052624
196	827.9009068
197	827.4565088
198	827.2791275
199	826.8870548
200	826.5731052
201	826.092621
202	825.752137
203	825.4174067
204	824.9618498
205	824.7355266
206	824.5091097
207	824.2213255
208	823.860091
209	823.6999523
210	823.4959018
211	823.3058735
212	822.8473079
213	822.6075987
214	822.2801348
215	821.989393
216	821.3631818
217	821.1280501
218	820.8454406
219	820.5649575
220	820.3311653
221	820.1055363
222	819.8452238
223	819.5067017
224	819.3043025
225	819.1070505
226	818.7127633
227	818.4413322
228	818.134993
229	817.5965221
230	817.4246886
231	817.1918794
232	816.925152
233	816.5363999
234	816.2946939
235	816.0739659
236	815.7632689
237	815.4977834
238	815.2680523
239	815.0687731
240	814.8881559
241	814.7466254
242	814.5126326
243	814.2232111
244	814.066714
245	813.8369873
246	813.4479581
247	813.0587309
248	812.8308986
249	812.3643884
250	812.2381332
251	812.0989377
252	811.9387107
253	811.6551946
254	811.2935235
255	810.9372626
256	810.7700739
257	810.3137473
258	810.1950793
259	809.7899439
260	809.5969719
261	809.2636599
262	808.9633717
263	808.7843384
264	808.520979
265	808.3322451
266	808.2123302
267	808.0919925
268	807.8076108
269	807.6561387
270	807.0661343
271	806.951869
272	806.807457
273	806.4894396
274	806.2839854
275	806.0422953
276	805.9387858
277	805.5977001
278	805.2109375
279	805.0529567
280	804.9339082
281	804.4952585
282	804.3059734
283	803.9268769
284	803.7985163
285	803.6557128
286	803.4536049
287	803.2471576
288	803.0401383
289	802.7230583
290	802.5580322
291	802.453888
292	802.1712697
293	801.9955904
294	801.747239
295	801.5138189
296	801.3813811
297	801.245731
298	801.0033987
299	800.9106169
300	800.641445
301	800.5253791
302	800.4159665
303	800.2673669
304	800.1480143
305	800.0387807
306	799.8691209
307	799.7257005
308	799.4985789
309	799.3756251
310	799.0741885
311	798.8754401
312	798.6706582
313	798.4720951
314	798.2921517
315	798.1524821
316	798.0258191
317	797.7355458
318	797.6097451
319	797.4235012
320	796.970751
321	796.8282082
322	796.7450948
323	796.6447906
324	796.5148079
325	796.4175972
326	796.1235344
327	795.9789027
328	795.8226181
329	795.6029179
330	795.3080859
331	794.9281291
332	794.693553
333	794.6401124
334	794.3986146
335	794.2218785
336	794.1232511
337	794.0065351
338	793.8736849
339	793.7118366
340	793.5975661
341	793.5090294
342	793.380617
343	793.1696363
344	792.9186638
345	792.8148361
346	792.5277439
347	792.3392851
348	792.2203912
349	792.1501193
350	791.8976468
351	791.7719905
352	791.6726326
353	791.5470892
354	791.1903667
355	790.947562
356	790.7000007
357	790.5587771
358	790.4140146
359	790.3030258
360	790.1227311
361	789.9977289
362	789.8348813
363	789.6742586
364	789.529544
365	789.4147606
366	789.3084833
367	789.2313951
368	788.8884058
369	788.81135
370	788.7303782
371	788.6416691
372	788.5161288
373	788.2142844
374	788.028323
375	787.8176278
376	787.6600576
377	787.5371925
378	787.4722408
379	787.3771743
380	787.2100191
381	787.1009002
382	787.0351801
383	786.9195477
384	786.6908751
385	786.504659
386	786.425565
387	786.3253302
388	786.1276547
389	786.0028943
390	785.9037631
391	785.7508786
392	785.6696568
393	785.5855505
394	785.3922391
395	785.2478039
396	785.0542851
397	784.9289893
398	784.8509793
399	784.7522017
400	784.6785341
401	784.5809529
402	784.3592043
403	784.171837
404	784.0829635
405	783.9016105
406	783.7264697
407	783.5505557
408	783.4103905
409	783.2620368
410	783.1813633
411	783.0699785
412	782.8871776
413	782.7668472
414	782.6694913
415	782.4461752
416	782.3731826
417	782.2592305
418	782.1948385
419	782.1467832
420	782.0247633
