iter	Passed	Remaining
0	6	6923
1	12	6140
2	17	5860
3	22	5531
4	25	5145
5	29	4910
6	33	4805
7	37	4644
8	40	4511
9	44	4389
10	47	4292
11	51	4203
12	54	4140
13	58	4092
14	61	4041
15	64	3991
16	68	3955
17	72	3935
18	75	3915
19	80	3931
20	85	3968
21	89	3978
22	93	3991
23	97	3955
24	101	3955
25	105	3948
26	108	3923
27	111	3886
28	115	3871
29	118	3845
30	122	3817
31	125	3792
32	128	3756
33	131	3731
34	134	3715
35	138	3696
36	141	3680
37	144	3655
38	147	3639
39	151	3629
40	154	3613
41	157	3596
42	160	3579
43	163	3558
44	166	3541
45	170	3526
46	173	3516
47	176	3504
48	180	3496
49	183	3484
50	186	3472
51	189	3458
52	192	3445
53	195	3431
54	199	3422
55	202	3415
56	205	3400
57	208	3393
58	212	3382
59	215	3370
60	218	3366
61	221	3354
62	224	3344
63	227	3334
64	230	3322
65	234	3318
66	237	3310
67	240	3300
68	243	3290
69	246	3280
70	250	3273
71	253	3264
72	256	3256
73	259	3251
74	263	3249
75	266	3237
76	269	3227
77	272	3220
78	275	3214
79	278	3208
80	281	3196
81	284	3189
82	288	3183
83	291	3176
84	294	3171
85	297	3161
86	300	3155
87	304	3152
88	307	3146
89	310	3140
90	313	3132
91	316	3125
92	319	3119
93	323	3113
94	326	3109
95	329	3106
96	332	3099
97	336	3093
98	339	3089
99	342	3083
100	345	3076
101	348	3071
102	352	3066
103	355	3061
104	358	3057
105	361	3051
106	364	3045
107	368	3040
108	371	3036
109	374	3031
110	377	3023
111	380	3016
112	383	3012
113	386	3007
114	390	3002
115	393	2996
116	396	2991
117	399	2987
118	402	2982
119	406	2977
120	409	2972
121	412	2966
122	415	2960
123	418	2955
124	421	2951
125	424	2946
126	428	2942
127	431	2937
128	434	2932
129	437	2928
130	440	2923
131	443	2919
132	447	2914
133	450	2909
134	453	2904
135	456	2899
136	459	2895
137	462	2890
138	466	2886
139	469	2882
140	472	2878
141	475	2875
142	479	2871
143	482	2867
144	485	2863
145	488	2859
146	491	2854
147	495	2850
148	498	2847
149	501	2841
150	504	2836
151	507	2833
152	510	2828
153	514	2823
154	517	2819
155	520	2817
156	523	2813
157	527	2810
158	530	2806
159	533	2802
160	537	2803
161	542	2804
162	546	2805
163	549	2802
164	553	2801
165	557	2798
166	560	2795
167	563	2792
168	567	2788
169	570	2783
170	573	2779
171	576	2776
172	579	2769
173	582	2766
174	585	2761
175	588	2757
176	592	2753
177	595	2749
178	598	2745
179	602	2742
180	605	2738
181	608	2734
182	611	2731
183	614	2727
184	618	2723
185	621	2719
186	624	2714
187	627	2710
188	630	2707
189	634	2703
190	637	2699
191	640	2695
192	643	2691
193	647	2688
194	650	2685
195	654	2682
196	657	2678
197	660	2675
198	663	2671
199	666	2666
200	669	2663
201	672	2658
202	676	2655
203	679	2650
204	682	2646
205	685	2642
206	688	2638
207	691	2634
208	695	2630
209	698	2626
210	701	2622
211	704	2617
212	707	2613
213	710	2609
214	713	2606
215	717	2603
216	720	2600
217	723	2596
218	727	2592
219	730	2588
220	733	2584
221	736	2581
222	740	2578
223	743	2575
224	746	2571
225	749	2566
226	752	2562
227	755	2558
228	758	2554
229	761	2550
230	764	2546
231	768	2543
232	771	2539
233	774	2536
234	778	2533
235	780	2528
236	784	2525
237	787	2522
238	790	2517
239	794	2514
240	796	2509
241	800	2505
242	803	2502
243	806	2497
244	809	2494
245	812	2489
246	815	2486
247	818	2483
248	821	2479
249	825	2476
250	828	2472
251	831	2468
252	835	2465
253	838	2462
254	841	2458
255	844	2454
256	847	2451
