iter	Passed	Remaining
0	89	89127
1	173	86406
2	258	86047
3	335	83484
4	416	82797
5	494	81895
6	572	81152
7	650	80700
8	740	81497
9	820	81267
10	897	80677
11	974	80241
12	1051	79810
13	1129	79533
14	1218	80030
15	1294	79609
16	1372	79378
17	1451	79200
18	1529	78974
19	1607	78770
20	1687	78684
21	1766	78536
22	1845	78396
23	1920	78100
24	1999	77985
25	2078	77856
26	2162	77934
27	2248	78070
28	2329	77982
29	2417	78164
30	2495	78002
31	2570	77765
32	2648	77598
33	2724	77413
34	2801	77239
35	2880	77128
36	2956	76952
37	3045	77094
38	3124	76994
39	3215	77172
40	3293	77033
41	3373	76938
42	3451	76817
43	3529	76688
44	3612	76664
45	3692	76570
46	3769	76437
47	3847	76309
48	3929	76255
49	4009	76186
50	4088	76069
51	4176	76142
52	4256	76060
53	4335	75959
54	4417	75902
55	4491	75718
56	4573	75667
57	4655	75604
58	4734	75517
59	4813	75413
60	4891	75293
61	4970	75200
62	5049	75095
63	5124	74946
64	5214	75005
65	5292	74892
66	5372	74808
67	5454	74763
68	5536	74700
69	5614	74593
70	5695	74525
71	5777	74468
72	5857	74378
73	5942	74363
74	6030	74381
75	6113	74326
76	6211	74459
77	6293	74390
78	6374	74317
79	6453	74216
80	6533	74121
81	6610	74007
82	6688	73895
83	6765	73780
84	6847	73715
85	6928	73636
86	7005	73521
87	7085	73433
88	7172	73418
89	7253	73339
90	7336	73288
91	7421	73244
92	7504	73186
93	7584	73105
94	7665	73020
95	7745	72938
96	7823	72830
97	7908	72786
98	7986	72682
99	8065	72590
100	8149	72541
101	8237	72523
102	8319	72451
103	8402	72394
104	8480	72283
105	8559	72192
106	8641	72120
107	8726	72074
108	8809	72012
109	8893	71956
110	8980	71927
111	9063	71862
112	9148	71810
113	9240	71815
114	9321	71734
115	9400	71637
116	9486	71591
117	9561	71471
118	9643	71392
119	9724	71311
120	9805	71231
121	9890	71176
122	9968	71079
123	10053	71024
124	10134	70942
125	10224	70919
126	10305	70838
127	10399	70848
128	10479	70754
129	10561	70680
130	10645	70617
131	10729	70551
132	10812	70484
133	10891	70390
134	10974	70315
135	11052	70214
136	11142	70189
137	11230	70149
138	11311	70064
139	11392	69985
140	11473	69898
141	11553	69806
142	11634	69727
143	11714	69635
144	11794	69549
145	11876	69470
146	11957	69384
147	12036	69289
148	12116	69199
149	12204	69156
150	12285	69072
151	12363	68974
152	12443	68884
153	12524	68802
154	12598	68682
155	12680	68604
156	12763	68533
157	12845	68453
158	12925	68367
159	13008	68295
160	13087	68199
161	13174	68148
162	13258	68081
163	13335	67977
164	13412	67874
165	13491	67781
166	13573	67704
167	13656	67630
168	13748	67601
169	13825	67500
170	13906	67418
171	13985	67327
172	14072	67270
173	14155	67195
174	14236	67115
175	14316	67029
176	14399	66951
177	14479	66864
178	14556	66765
179	14638	66687
180	14719	66604
181	14798	66512
182	14878	66422
183	14957	66331
184	15036	66242
185	15117	66157
186	15209	66125
187	15287	66027
188	15367	65943
189	15458	65901
190	15538	65814
191	15618	65728
192	15700	65647
193	15779	65557
194	15857	65461
195	15935	65368
196	16014	65277
197	16088	65165
198	16175	65108
199	16253	65015
200	16335	64935
201	16413	64841
202	16492	64752
203	16574	64671
204	16652	64577
205	16730	64484
206	16810	64400
207	16890	64314
208	16968	64220
209	17051	64146
210	17133	64067
211	17221	64011
212	17301	63928
213	17380	63837
214	17462	63756
215	17538	63659
216	17618	63572
217	17697	63483
218	17777	63398
219	17854	63303
220	17936	63222
221	18017	63142
222	18100	63067
223	18193	63028
224	18272	62937
225	18348	62840
226	18442	62800
227	18521	62712
228	18607	62646
229	18689	62567
230	18770	62488
231	18848	62394
232	18928	62309
233	19008	62224
234	19091	62149
235	19183	62103
236	19266	62026
237	19344	61933
238	19420	61835
239	19496	61738
240	19576	61652
241	19655	61565
242	19733	61472
243	19813	61390
244	19887	61287
245	19966	61199
246	20049	61121
247	20134	61052
248	20216	60975
249	20296	60890
250	20377	60807
251	20464	60744
252	20541	60649
253	20620	60562
254	20699	60473
255	20777	60384
256	20860	60309
257	20939	60221
258	21017	60131
259	21098	60050
260	21189	59995
261	21266	59903
262	21349	59826
263	21431	59749
264	21512	59667
265	21590	59578
266	21672	59496
267	21750	59407
268	21825	59310
269	21903	59220
270	21982	59133
271	22064	59055
272	22155	59000
273	22236	58918
274	22317	58836
275	22396	58749
276	22478	58672
277	22555	58580
278	22634	58491
279	22710	58398
280	22789	58311
281	22870	58231
282	22951	58149
283	23031	58066
284	23118	58000
285	23200	57921
286	23282	57840
287	23362	57757
288	23440	57668
289	23518	57579
290	23597	57493
291	23682	57421
292	23767	57351
293	23848	57268
294	23928	57185
295	24010	57106
296	24092	57026
297	24183	56969
298	24264	56888
299	24340	56794
300	24510	56920
301	24590	56834
302	24670	56749
303	24747	56658
304	24835	56592
305	24916	56510
306	24995	56422
307	25073	56334
308	25161	56268
309	25245	56192
310	25334	56127
311	25411	56035
312	25492	55953
313	25573	55870
314	25649	55777
315	25730	55694
316	25808	55606
317	25885	55514
318	25963	55426
319	26042	55340
320	26129	55271
321	26209	55186
322	26290	55104
323	26370	55019
324	26451	54936
325	26532	54855
326	26610	54767
327	26687	54677
328	26765	54588
329	26844	54501
330	26921	54413
331	26996	54318
332	27076	54233
333	27162	54163
334	27240	54074
335	27318	53986
336	27397	53899
337	27473	53809
338	27550	53719
339	27631	53637
340	27712	53556
341	27794	53476
342	27879	53401
343	27955	53310
