iter	MultiClass
0	1.786240649
1	1.780577703
2	1.775901901
3	1.77147586
4	1.766268717
5	1.761290605
6	1.756341475
7	1.751650687
8	1.746821285
9	1.742200406
10	1.737870824
11	1.73361202
12	1.729266796
13	1.724920033
14	1.720537144
15	1.716408085
16	1.712353014
17	1.708451498
18	1.704421788
19	1.700473633
20	1.696607973
21	1.692535119
22	1.688458851
23	1.684974376
24	1.681109789
25	1.677844587
26	1.674358717
27	1.671119092
28	1.667895477
29	1.664095107
30	1.660920309
31	1.657597347
32	1.654693363
33	1.65191015
34	1.648908361
35	1.645693021
36	1.642523892
37	1.639667065
38	1.636782016
39	1.63362838
40	1.630834888
41	1.628052137
42	1.62512256
43	1.622602107
44	1.619900006
45	1.617432654
46	1.615289045
47	1.612706262
48	1.609928321
49	1.607704304
50	1.605170004
51	1.602718551
52	1.600366043
53	1.597806906
54	1.595411014
55	1.593007566
56	1.590755961
57	1.588434846
58	1.586124518
59	1.58390052
60	1.581907848
61	1.579619387
62	1.577241895
63	1.575103416
64	1.573049953
65	1.571018478
66	1.568953234
67	1.566933682
68	1.564888913
69	1.562780122
70	1.560617433
71	1.558654952
72	1.556704862
73	1.554939483
74	1.552944825
75	1.551086236
76	1.549242633
77	1.547710857
78	1.54605568
79	1.544304767
80	1.542470189
81	1.540505621
82	1.538789831
83	1.537049303
84	1.53520526
85	1.533869694
86	1.532211135
87	1.53042829
88	1.528777632
89	1.527286652
90	1.525687437
91	1.524087012
92	1.522539424
93	1.521037013
94	1.5195553
95	1.518002088
96	1.516528981
97	1.514925113
98	1.513541934
99	1.512117044
100	1.510733619
101	1.509140577
102	1.507553096
103	1.506049425
104	1.504754581
105	1.503311385
106	1.502204683
107	1.500921164
108	1.49957211
109	1.498191851
110	1.497041488
111	1.495653777
112	1.494135189
113	1.492695076
114	1.491431212
115	1.489981776
116	1.488806266
117	1.48742685
118	1.486041722
119	1.484640868
120	1.483252222
121	1.482036989
122	1.480877192
123	1.479626279
124	1.478406436
125	1.477108945
126	1.475774534
127	1.474505709
128	1.473443824
129	1.472322606
130	1.471061074
131	1.469904568
132	1.468627714
133	1.467618634
134	1.466407767
135	1.465280458
136	1.464217192
137	1.46308204
138	1.462020622
139	1.460945148
140	1.459827075
141	1.458966172
142	1.457915059
143	1.456740265
144	1.455674008
145	1.454656762
146	1.453641618
147	1.452609334
148	1.451507036
149	1.450456259
150	1.44939049
151	1.448524685
152	1.447574956
153	1.446830177
154	1.445882876
155	1.444979497
156	1.443839104
157	1.443008119
158	1.441935112
159	1.440883929
160	1.439868836
161	1.438999269
162	1.437995879
163	1.437044403
164	1.436189454
165	1.435290604
166	1.434300634
167	1.433482088
168	1.432534484
169	1.431630955
170	1.430651755
171	1.429610662
172	1.428727002
173	1.427881475
174	1.427074315
175	1.42628486
176	1.425255
177	1.424436335
178	1.423584106
179	1.422747283
180	1.421972162
181	1.421089579
182	1.420240942
183	1.419325527
184	1.418625925
185	1.417929518
186	1.417098968
187	1.416351401
188	1.415581706
189	1.414881214
190	1.413798301
191	1.413015119
192	1.412248201
193	1.411755535
194	1.41105748
195	1.410351918
196	1.409548178
197	1.408698927
198	1.408109587
199	1.407391974
200	1.406585529
201	1.405826641
202	1.405038868
203	1.404074224
204	1.403298339
205	1.402620082
206	1.401870321
207	1.401063686
208	1.400236806
209	1.399514623
210	1.39872394
211	1.398010208
212	1.39740391
213	1.39661862
214	1.395917777
215	1.395452393
216	1.39478095
217	1.394097417
218	1.393390661
219	1.392614124
220	1.392070786
221	1.391208362
222	1.39049733
223	1.389834507
224	1.388976288
225	1.388371371
226	1.387725511
227	1.387115197
228	1.386513752
229	1.385746313
230	1.385063047
231	1.384371128
232	1.383882714
233	1.383312574
234	1.382639501
235	1.382100169
236	1.381246938
237	1.380630278
238	1.380101078
239	1.379549111
240	1.378999003
241	1.378454563
242	1.377840577
243	1.377093457
244	1.376515093
245	1.375892826
246	1.375246375
247	1.374654209
248	1.374158128
249	1.3734265
250	1.3728247
251	1.372313326
252	1.371600967
253	1.371167447
254	1.37044912
255	1.369902184
256	1.369236712
