iter	Passed	Remaining
0	196	392137
1	357	356848
2	523	348639
3	707	353241
4	877	349933
5	1036	344458
6	1189	338643
7	1352	336781
8	1520	336330
9	1689	336212
10	1846	333845
11	1998	331080
12	2159	330005
13	2322	329528
14	2491	329760
15	2657	329579
16	2826	329759
17	2975	327641
18	3129	326250
19	3287	325467
20	3458	325875
21	3631	326465
22	3804	327033
23	3972	327077
24	4138	326910
25	4298	326382
26	4498	328687
27	4699	331004
28	4898	332913
29	5102	335090
30	5279	335332
31	5479	337005
32	5662	337509
33	5853	338474
34	6031	338603
35	6205	338533
36	6383	338694
37	6558	338650
38	6764	340126
39	6973	341702
40	7183	343216
41	7360	343161
42	7541	343222
43	7714	342933
44	7890	342803
45	8062	342475
46	8251	342867
47	8436	343080
48	8633	343745
49	8821	344032
50	9019	344695
51	9200	344648
52	9360	343854
53	9535	343647
54	9706	343246
55	9881	343034
56	10048	342542
57	10209	341837
58	10381	341531
59	10545	340968
60	10710	340451
61	10874	339914
62	11039	339416
63	11205	338966
64	11364	338300
65	11522	337641
66	11688	337226
67	11842	336476
68	12010	336118
69	12160	335291
70	12314	334579
71	12465	333791
72	12624	333258
73	12781	332655
74	12947	332320
75	13118	332112
76	13276	331561
77	13452	331471
78	13626	331355
79	13800	331200
80	13973	331044
81	14152	331021
82	14314	330616
83	14497	330676
84	14676	330646
85	14848	330473
86	15024	330357
87	15201	330278
88	15365	329917
89	15532	329623
90	15683	329001
91	15845	328614
92	16011	328313
93	16169	327869
94	16329	327456
95	16494	327138
96	16653	326725
97	16825	326543
98	16991	326279
99	17166	326170
100	17324	325740
101	17486	325386
102	17650	325072
103	17821	324904
104	17995	324768
105	18161	324500
106	18335	324388
107	18505	324180
108	18685	324161
109	18860	324060
110	19017	323633
111	19173	323204
112	19322	322675
113	19474	322180
114	19629	321748
115	19789	321401
116	19949	321067
117	20132	321099
118	20291	320741
119	20463	320587
120	20648	320650
121	20820	320505
122	21003	320517
123	21215	320971
124	21456	321850
125	21640	321863
126	21818	321774
127	21995	321683
128	22161	321432
129	22326	321162
130	22485	320803
131	22658	320653
132	22821	320356
133	23001	320300
134	23164	320013
135	23376	320399
136	23551	320261
137	23704	319843
138	23875	319652
139	24048	319499
140	24216	319278
141	24387	319096
142	24538	318653
143	24687	318199
144	24845	317856
145	24997	317434
146	25152	317062
147	25315	316781
148	25495	316729
149	25659	316463
150	25804	315971
151	25954	315554
152	26110	315205
153	26273	314946
154	26427	314577
155	26596	314381
156	26756	314092
157	26923	313883
158	27096	313743
159	27276	313677
160	27447	313520
161	27614	313310
162	27769	312966
163	27923	312609
164	28071	312191
165	28221	311798
166	28385	311555
167	28549	311330
168	28715	311108
169	28860	310679
170	29018	310375
171	29164	309962
172	29324	309687
173	29480	309374
174	29641	309121
175	29804	308884
176	29980	308781
177	30140	308516
178	30305	308303
179	30486	308252
180	30659	308116
181	30825	307919
182	30977	307571
183	31138	307327
184	31298	307059
185	31471	306932
186	31630	306666
187	31793	306438
188	31960	306242
189	32114	305936
190	32268	305625
191	32419	305280
192	32598	305207
193	32776	305124
194	32945	304961
195	33130	304937
196	33292	304698
197	33474	304647
198	33657	304606
199	33828	304452
200	33996	304279
201	34167	304123
202	34335	303945
203	34516	303877
204	34693	303781
205	34868	303664
206	35044	303549
207	35213	303380
208	35372	303118
209	35538	302923
210	35712	302795
211	35881	302620
212	36050	302454
213	36222	302301
214	36386	302088
215	36572	302057
216	36751	301972
217	36932	301900
218	37113	301821
219	37276	301604
220	37453	301490
221	37637	301436
222	37813	301319
223	37989	301198
224	38156	301011
225	38324	300827
226	38501	300715
227	38675	300586
228	38848	300442
229	39024	300321
230	39199	300186
231	39370	300030
232	39541	299870
233	39753	300016
234	39909	299744
235	40058	299423
236	40217	299174
237	40371	298882
238	40606	299196
239	40768	298970
240	40936	298783
241	41136	298831
242	41314	298724
243	41474	298483
244	41638	298267
245	41804	298066
246	41989	298003
247	42155	297807
248	42307	297514
249	42465	297257
250	42624	297016
251	42774	296702
252	42928	296427
253	43090	296203
254	43244	295926
255	43407	295713
256	43596	295674
257	43768	295520
258	43941	295375
259	44109	295196
260	44273	294986
261	44436	294770
262	44602	294581
263	44758	294323
264	44938	294219
265	45108	294054
266	45257	293751
267	45424	293565
268	45589	293368
269	45754	293168
270	45915	292947
271	46082	292761
272	46239	292510
273	46396	292265
274	46564	292086
275	46723	291853
276	46887	291649
277	47052	291452
278	47210	291216
279	47358	290919
280	47529	290759
281	47687	290520
282	47844	290279
283	48002	290041
284	48177	289908
285	48329	289636
286	48487	289403
287	48643	289159
288	48813	288994
289	48981	288819
290	49143	288612
291	49292	288326
292	49455	288123
293	49614	287900
294	49772	287665
295	49931	287445
296	50093	287235
297	50256	287034
298	50425	286871
299	50584	286643
300	50759	286512
301	50930	286357
302	51089	286134
303	51251	285927
304	51400	285653
305	51547	285361
306	51725	285248
307	51893	285077
308	52051	284848
309	52215	284660
310	52373	284432
311	52533	284222
312	52680	283934
313	52832	283679
314	52995	283485
315	53154	283268
316	53318	283078
317	53484	282896
318	53657	282750
319	53817	282540
320	53985	282373
321	54143	282153
322	54288	281862
323	54448	281652
324	54606	281432
325	54760	281191
326	54928	281027
327	55093	280844
328	55253	280635
329	55435	280538
330	55596	280332
331	55768	280185
332	55925	279965
333	56081	279737
334	56249	279569
335	56422	279426
336	56597	279290
337	56764	279121
338	56941	278997
339	57123	278899
340	57287	278709
341	57463	278578
342	57635	278431
343	57809	278291
344	57966	278072
345	58124	277854
346	58283	277643
347	58461	277525
348	58645	277429
349	58823	277312
350	58998	277176
351	59163	276994
352	59330	276818
353	59505	276683
354	59678	276540
355	59856	276417
356	60029	276269
357	60185	276044
358	60340	275819
359	60492	275576
360	60653	275377
361	60820	275202
362	60980	274998
363	61140	274796
364	61292	274557
365	61445	274322
366	61615	274165
367	61789	274023
368	61958	273857
369	62135	273730
370	62291	273510
371	62449	273299
372	62618	273138
373	62771	272904
374	62933	272711
375	63114	272600
376	63283	272436
377	63451	272268
378	63641	272199
379	63803	272006
380	63975	271854
381	64142	271683
382	64294	271448
383	64462	271279
384	64638	271144
385	64826	271060
386	64986	270862
387	65165	270738
388	65326	270544
389	65502	270408
390	65676	270264
391	65861	270166
392	66042	270051
393	66215	269902
394	66376	269708
395	66535	269501
396	66691	269287
397	66854	269096
398	67023	268932
