,Date,Close
0,1981-05-01,
1,1981-05-02,
2,1981-05-04,
3,1981-05-06,
4,1981-05-07,
5,1981-05-08,
6,1981-05-09,
7,1981-05-12,
8,1981-05-13,
9,1981-05-14,
10,1981-05-15,
11,1981-05-16,
12,1981-05-18,
13,1981-05-19,
14,1981-05-20,
15,1981-05-21,
16,1981-05-22,
17,1981-05-23,
18,1981-05-25,
19,1981-05-26,
20,1981-05-27,
21,1981-05-28,
22,1981-05-29,
23,1981-05-30,
24,1981-06-01,
25,1981-06-02,
26,1981-06-03,
27,1981-06-04,
28,1981-06-05,
29,1981-06-08,
30,1981-06-09,
31,1981-06-10,
32,1981-06-11,
33,1981-06-12,
34,1981-06-13,
35,1981-06-15,
36,1981-06-16,
37,1981-06-17,
38,1981-06-18,
39,1981-06-19,
40,1981-06-20,
41,1981-06-22,
42,1981-06-23,
43,1981-06-24,
44,1981-06-25,
45,1981-06-26,
46,1981-06-27,
47,1981-06-29,
48,1981-06-30,
49,1981-07-01,
50,1981-07-02,
51,1981-07-03,
52,1981-07-04,
53,1981-07-06,
54,1981-07-07,
55,1981-07-08,
56,1981-07-09,
57,1981-07-10,
58,1981-07-11,
59,1981-07-13,
60,1981-07-14,
61,1981-07-15,
62,1981-07-16,
63,1981-07-18,
64,1981-07-20,
65,1981-07-21,
66,1981-07-22,
67,1981-07-23,
68,1981-07-24,
69,1981-07-25,
70,1981-07-27,
71,1981-07-28,
72,1981-07-29,
73,1981-07-30,
74,1981-07-31,
75,1981-08-01,
76,1981-08-03,
77,1981-08-04,
78,1981-08-05,
79,1981-08-06,
80,1981-08-07,
81,1981-08-08,
82,1981-08-10,
83,1981-08-11,
84,1981-08-12,
85,1981-08-13,
86,1981-08-14,
87,1981-08-17,
88,1981-08-18,
89,1981-08-19,139.88777777777779
90,1981-08-20,140.09777777777776
91,1981-08-21,140.33666666666664
92,1981-08-22,140.59777777777776
93,1981-08-24,140.85111111111112
94,1981-08-25,141.08999999999997
95,1981-08-26,141.3322222222222
96,1981-08-27,141.5711111111111
