,Date,Volume,Open,High,Low,Close,pred
0,2018-08-10,286160000.0,2295.21,2295.62,2277.89,2282.79,2295.3699075610543
1,2018-08-13,335380000.0,2266.43,2271.82,2238.55,2248.45,2282.5425991491734
2,2018-08-14,255220000.0,2249.86,2262.52,2247.37,2258.91,2250.0203831335552
3,2018-08-16,312520000.0,2233.05,2244.08,2218.09,2240.8,2259.4223717395967
6,2018-08-21,294340000.0,2248.04,2272.86,2244.59,2270.06,2254.4314073603396
12,2018-08-29,268210000.0,2304.66,2309.88,2300.21,2309.03,2304.8484738950274
14,2018-08-31,255910000.0,2298.13,2322.88,2295.72,2322.88,2314.3597678035276
15,2018-09-03,230510000.0,2317.93,2318.72,2302.17,2307.03,2318.420673205866
17,2018-09-05,358190000.0,2310.9,2315.43,2288.01,2291.77,2311.789305422215
18,2018-09-06,387510000.0,2288.8,2298.47,2284.5,2287.61,2297.5786474201277
19,2018-09-07,357560000.0,2278.08,2286.82,2264.9,2281.58,2294.33631640447
21,2018-09-11,368210000.0,2286.91,2295.76,2275.13,2283.2,2287.7002286008114
25,2018-09-17,343170000.0,2314.55,2314.55,2295.26,2303.01,2316.8981552727746
26,2018-09-18,309240000.0,2287.73,2310.97,2287.42,2308.98,2300.0058031480444
30,2018-09-27,279230000.0,2331.7,2355.43,2331.7,2355.43,2333.315986224703
33,2018-10-02,287870000.0,2338.28,2341.55,2308.9,2309.57,2339.5617239005455
34,2018-10-04,309500000.0,2311.06,2311.06,2270.22,2274.49,2318.8450634495125
35,2018-10-05,282140000.0,2269.94,2278.12,2250.99,2267.52,2279.9107782695964
36,2018-10-08,214640000.0,2258.73,2273.71,2253.83,2253.83,2262.8700290380166
37,2018-10-10,365680000.0,2256.03,2257.52,2222.95,2228.61,2268.480892703027
38,2018-10-11,411920000.0,2176.16,2186.69,2129.67,2129.67,2232.1743565838187
39,2018-10-12,292570000.0,2131.66,2173.01,2129.13,2161.85,2149.946063528378
40,2018-10-15,259180000.0,2155.34,2159.23,2141.28,2145.12,2166.4978531757533
43,2018-10-18,321760000.0,2158.8,2168.01,2146.61,2148.31,2173.751410388702
44,2018-10-19,351770000.0,2130.06,2158.78,2117.62,2156.26,2157.844959080089
45,2018-10-22,308740000.0,2143.08,2163.21,2136.92,2161.71,2146.123139567149
46,2018-10-23,373470000.0,2147.3,2148.8,2094.69,2106.1,2156.402927074188
48,2018-10-25,376010000.0,2046.67,2066.06,2033.81,2063.3,2100.546252389835
51,2018-10-30,441580000.0,1985.95,2028.84,1985.95,2014.69,2018.4672180971763
52,2018-10-31,373030000.0,2022.84,2030.5,2006.63,2029.69,2024.0965089818055
55,2018-11-05,361300000.0,2079.81,2080.49,2052.67,2076.92,2089.7588614424512
59,2018-11-09,298070000.0,2093.89,2101.92,2082.47,2086.09,2106.337323936058
60,2018-11-12,295530000.0,2065.92,2087.24,2065.52,2080.44,2092.4843618970367
61,2018-11-13,383420000.0,2047.62,2072.03,2032.05,2071.23,2084.727661304844
63,2018-11-15,351040000.0,2061.47,2088.61,2058.73,2088.06,2066.8646110439013
66,2018-11-20,281680000.0,2074.67,2089.54,2074.67,2082.58,2104.691809912563
67,2018-11-21,267900000.0,2057.07,2077.49,2049.76,2076.55,2088.0957969755946
74,2018-11-30,427350000.0,2116.83,2122.33,2093.83,2096.86,2117.4220070933197
77,2018-12-05,492720000.0,2086.57,2107.69,2086.57,2101.31,2113.2939270311535
78,2018-12-06,537410000.0,2094.62,2094.62,2064.0,2068.69,2105.517336618477
80,2018-12-10,344160000.0,2048.45,2061.78,2043.21,2053.79,2074.169940535825
84,2018-12-14,448240000.0,2095.64,2095.64,2061.4,2069.38,2100.381134418249
86,2018-12-18,429530000.0,2057.39,2074.31,2054.26,2062.11,2071.296241700655
87,2018-12-19,418800000.0,2068.95,2080.65,2063.01,2078.84,2070.2175066483055
88,2018-12-20,421060000.0,2063.7,2071.08,2047.52,2060.12,2075.007666438945
89,2018-12-21,311390000.0,2052.7,2061.51,2049.76,2061.49,2058.0570914930527
90,2018-12-24,285280000.0,2050.38,2059.94,2046.18,2055.01,2058.5152201051087
91,2018-12-26,321500000.0,2028.81,2037.83,2014.28,2028.01,2055.884997423166
95,2019-01-03,427980000.0,2011.81,2014.72,1991.65,1993.7,2017.7599770889958
96,2019-01-04,408990000.0,1992.4,2011.56,1984.53,2010.25,1999.1560420272997
98,2019-01-08,397830000.0,2038.68,2042.7,2023.59,2025.27,2044.1707225826215
102,2019-01-14,432890000.0,2070.49,2073.94,2059.46,2064.52,2071.6125179966107
109,2019-01-23,408600000.0,2108.72,2131.05,2106.74,2127.78,2116.1009093698235
113,2019-01-29,552590000.0,2172.83,2183.36,2162.53,2183.36,2176.282346419985
118,2019-02-08,391030000.0,2192.01,2192.48,2171.96,2177.05,2201.4668650614126
122,2019-02-14,573360000.0,2195.92,2225.85,2186.09,2225.85,2199.545247959684
123,2019-02-15,400590000.0,2210.94,2210.94,2187.71,2196.09,2215.07171278283
125,2019-02-19,389090000.0,2208.96,2213.87,2193.34,2205.63,2213.100632104716
127,2019-02-21,382510000.0,2224.26,2234.31,2213.19,2228.66,2230.639821682878
128,2019-02-22,409310000.0,2222.32,2230.5,2217.08,2230.5,2224.9132018885753
132,2019-02-28,510020000.0,2231.58,2233.93,2195.44,2195.44,2232.840053248123
134,2019-03-05,313140000.0,2183.35,2185.74,2171.33,2179.23,2198.4745682674225
137,2019-03-08,313310000.0,2152.8,2159.67,2137.44,2137.44,2166.690505619693
138,2019-03-11,272100000.0,2140.29,2145.31,2125.54,2138.1,2147.337846764998
140,2019-03-13,285600000.0,2152.66,2154.11,2134.16,2148.41,2158.3569280567813
145,2019-03-20,317610000.0,2171.41,2177.19,2152.21,2177.1,2174.756880532149
148,2019-03-25,307070000.0,2158.8,2159.25,2143.7,2144.86,2184.6676917259515
151,2019-03-28,288040000.0,2131.25,2136.4,2120.93,2128.1,2141.169618688648
155,2019-04-03,358640000.0,2176.81,2203.29,2172.83,2203.27,2177.0595004797706
157,2019-04-05,517150000.0,2206.36,2214.82,2205.26,2209.61,2212.853295874171
160,2019-04-10,399690000.0,2206.2,2225.02,2203.82,2224.39,2214.076786182452
162,2019-04-12,449630000.0,2221.1,2233.45,2212.88,2233.45,2222.309386766464
164,2019-04-16,569060000.0,2241.06,2249.89,2235.72,2248.63,2248.931701858136
168,2019-04-22,493980000.0,2218.5,2227.94,2207.25,2216.65,2219.4216990396485
169,2019-04-23,481180000.0,2217.61,2223.92,2212.14,2220.51,2218.4803308128116
171,2019-04-25,441140000.0,2195.47,2200.89,2187.44,2190.5,2199.6712274284782
172,2019-04-26,570170000.0,2178.13,2186.52,2168.15,2179.31,2194.3823608359053
175,2019-05-02,369060000.0,2192.94,2217.03,2191.3,2212.75,2194.9308284216795
176,2019-05-03,617880000.0,2209.44,2211.36,2192.36,2196.32,2213.242549714694
177,2019-05-07,484100000.0,2172.39,2179.51,2160.44,2176.99,2198.299038373283
178,2019-05-08,456330000.0,2151.34,2179.34,2151.34,2168.01,2169.782601894794
179,2019-05-09,743510000.0,2159.79,2164.98,2102.01,2102.01,2176.3571949314864
180,2019-05-10,714770000.0,2118.42,2124.92,2090.39,2108.04,2120.17847870544
181,2019-05-13,505750000.0,2091.8,2101.09,2077.72,2079.01,2102.8832607617737
182,2019-05-14,696200000.0,2060.24,2093.41,2056.74,2081.84,2089.4639854304246
183,2019-05-15,577790000.0,2081.92,2100.01,2076.46,2092.78,2087.1271603156615
187,2019-05-21,526860000.0,2056.95,2076.47,2053.69,2061.25,2064.7417172090436
188,2019-05-22,509970000.0,2068.65,2070.8,2048.01,2064.86,2071.9744858066215
190,2019-05-24,480650000.0,2047.3,2057.38,2035.98,2045.31,2053.209885561776
191,2019-05-27,351620000.0,2044.25,2055.13,2035.87,2044.21,2047.785044945862
192,2019-05-28,494480000.0,2044.77,2058.42,2038.52,2048.83,2047.7011001616934
193,2019-05-29,380890000.0,2046.71,2046.71,2016.25,2023.32,2052.3110172977804
195,2019-05-31,439180000.0,2029.03,2048.9,2022.97,2041.74,2038.725162526981
196,2019-06-03,387140000.0,2031.03,2070.58,2029.17,2067.85,2042.2017997127207
199,2019-06-07,368390000.0,2070.78,2081.16,2057.97,2072.33,2072.3124422528094
203,2019-06-13,553390000.0,2104.46,2108.01,2081.92,2103.15,2112.7766387500083
205,2019-06-17,561550000.0,2091.71,2103.59,2087.25,2090.73,2095.7277562477097
206,2019-06-18,600960000.0,2089.31,2103.02,2089.31,2098.71,2099.072728652835
208,2019-06-20,1010000000.0,2121.78,2131.77,2120.42,2131.29,2124.758689601243
211,2019-06-25,643000000.0,2125.74,2136.24,2115.11,2121.64,2129.352256252734
212,2019-06-26,736850000.0,2120.2,2128.25,2115.72,2121.85,2127.1356371659804
213,2019-06-27,644900000.0,2120.73,2141.27,2118.22,2134.32,2124.176070274623
214,2019-06-28,537270000.0,2135.06,2139.24,2123.97,2130.62,2137.2384954649483
216,2019-07-02,460830000.0,2122.07,2130.86,2112.52,2122.02,2131.8609279305883
217,2019-07-03,522710000.00000006,2120.75,2127.71,2093.32,2096.02,2122.7824597562108
218,2019-07-04,446930000.0,2102.36,2108.8,2088.97,2108.73,2106.0743328998183
220,2019-07-08,515950000.00000006,2091.91,2092.54,2063.78,2064.17,2103.844048294091
221,2019-07-09,440120000.0,2070.35,2075.3,2052.03,2052.03,2071.1098743658185
224,2019-07-12,403940000.0,2083.53,2090.43,2077.35,2086.66,2086.178742497595
225,2019-07-15,463520000.0,2083.39,2088.34,2073.1,2082.48,2085.1683833909506
227,2019-07-17,761630000.0,2079.91,2080.01,2063.49,2072.92,2091.147274658261
230,2019-07-22,332630000.0,2090.35,2099.34,2087.51,2093.34,2092.2449297445314
231,2019-07-23,648120000.0,2095.76,2106.39,2095.38,2101.45,2096.403029896296
232,2019-07-24,851390000.0,2097.16,2105.68,2080.66,2082.3,2105.166892132417
233,2019-07-25,598630000.0,2085.67,2088.81,2061.08,2074.48,2092.293087917239
234,2019-07-26,589070000.0,2063.35,2068.16,2054.64,2066.26,2069.814369989921
235,2019-07-29,608670000.0,2059.13,2063.13,2025.01,2029.48,2061.201585638087
236,2019-07-30,547030000.0,2035.32,2044.59,2032.61,2038.68,2036.6899406444147
237,2019-07-31,589390000.0,2036.46,2041.16,2010.95,2024.55,2041.726337975176
238,2019-08-01,461740000.0,2015.09,2032.23,2009.33,2017.34,2021.269776401112
239,2019-08-02,438540000.0,1995.31,2005.31,1987.12,1998.13,2026.0850796745474
240,2019-08-05,639600000.0,1985.93,1987.64,1945.39,1946.98,1998.1328509804912
241,2019-08-06,739590000.0,1900.36,1948.53,1891.81,1917.5,1956.522218060875
242,2019-08-07,760780000.0,1925.33,1929.29,1901.61,1909.71,1936.584941107848
245,2019-08-12,427140000.0,1941.53,1949.19,1933.25,1942.29,1943.4266727788292
246,2019-08-13,660040000.0,1928.76,1937.68,1923.58,1925.83,1942.2171678240773
248,2019-08-16,421680000.0,1921.49,1927.7,1911.72,1927.17,1944.9320581220586
251,2019-08-21,391570000.0,1954.57,1971.12,1954.47,1964.65,1957.7690369633565
252,2019-08-22,435560000.0,1966.6,1967.96,1951.01,1951.01,1969.4009836294674
253,2019-08-23,381090000.0,1942.42,1953.85,1940.6,1948.3,1956.0986225773045
254,2019-08-26,324850000.0,1915.34,1924.49,1909.92,1916.31,1951.4084290364303
259,2019-09-02,262150000.0,1961.19,1973.25,1958.59,1969.19,1968.934278433856
260,2019-09-03,342080000.0,1966.5,1976.37,1960.15,1965.69,1970.1294276099984
261,2019-09-04,348720000.0,1962.43,1988.53,1962.08,1988.53,1970.6213755743295
265,2019-09-10,504390000.0,2024.79,2034.28,2021.58,2032.08,2028.1025986045256
271,2019-09-20,589920000.0,2080.86,2092.37,2077.3,2091.52,2087.8536965978333
272,2019-09-23,420950000.0,2087.7,2095.54,2085.6,2091.7,2088.5904608463125
273,2019-09-24,535770000.0,2090.19,2101.63,2085.91,2101.04,2093.311882505464
274,2019-09-25,651550000.0,2093.47,2095.27,2072.41,2073.39,2097.3022734667543
276,2019-09-27,285940000.0,2066.96,2066.96,2044.75,2049.93,2072.9786263868536
277,2019-09-30,327620000.0,2045.77,2064.99,2042.01,2063.05,2050.156059684528
279,2019-10-02,414460000.0,2058.23,2058.23,2031.91,2031.91,2072.5290978743005
280,2019-10-04,402940000.0,2028.4,2039.43,2020.69,2020.69,2038.2638736576619
281,2019-10-07,322180000.0,2031.53,2034.94,2016.19,2021.73,2032.5010242416504
283,2019-10-10,445850000.0,2030.13,2040.88,2010.9,2028.15,2041.4151656312065
286,2019-10-15,464530000.0,2064.78,2073.21,2064.34,2068.17,2072.591884438961
288,2019-10-17,314180000.0,2081.76,2087.15,2072.49,2077.94,2083.77038940033
290,2019-10-21,606110000.0,2067.97,2067.97,2059.33,2064.84,2069.360254832082
292,2019-10-23,429450000.0,2086.81,2088.25,2074.88,2080.62,2089.588498244531
299,2019-11-01,418310000.0,2084.79,2100.42,2081.53,2100.2,2097.8951479602338
303,2019-11-07,425660000.0,2141.05,2147.01,2135.45,2144.29,2151.9754105047523
305,2019-11-11,617270000.0,2139.07,2139.07,2119.07,2124.09,2140.313449382319
307,2019-11-13,664360000.0,2132.48,2133.37,2118.67,2122.45,2132.8327085896676
311,2019-11-19,826880000.0,2151.04,2154.41,2137.01,2153.24,2158.0942304481673
312,2019-11-20,581060000.0,2140.06,2145.97,2123.8,2125.32,2143.5339263954397
313,2019-11-21,579550000.0,2123.65,2125.36,2088.19,2096.6,2133.067017765714
318,2019-11-28,335230000.0,2116.93,2127.75,2116.58,2118.6,2123.761980410117
319,2019-11-29,433260000.0,2125.53,2125.53,2085.1,2087.96,2126.5167661224955
321,2019-12-03,450040000.0,2075.02,2085.71,2066.6,2084.07,2096.788844030731
322,2019-12-04,347000000.0,2070.84,2072.91,2057.45,2068.89,2078.277274084345
326,2019-12-10,500060000.0,2081.22,2100.48,2080.16,2098.0,2088.0238894988233
338,2019-12-27,490170000.0,2183.7,2215.55,2177.4,2204.21,2191.2400058688227
339,2019-12-30,416400000.0,2202.62,2208.04,2195.65,2197.67,2207.2617430711243
340,2020-01-02,494680000.0,2201.21,2202.32,2171.84,2175.17,2202.348377409047
342,2020-01-06,592670000.0,2154.97,2164.42,2149.95,2155.07,2181.482961587676
344,2020-01-08,913830000.0,2156.27,2162.32,2137.72,2151.31,2178.3763857760246
349,2020-01-15,746160000.0,2229.8,2238.21,2223.39,2230.98,2242.415867567244
350,2020-01-16,808330000.0,2231.93,2249.09,2225.41,2248.05,2232.6104516328946
353,2020-01-21,770320000.0,2259.81,2266.31,2238.25,2239.69,2273.1380299014454
354,2020-01-22,608510000.0,2238.53,2269.27,2235.13,2267.25,2249.264747941393
355,2020-01-23,509610000.0,2254.54,2260.63,2241.94,2246.13,2263.3530306752773
356,2020-01-28,808880000.0,2192.22,2199.93,2166.23,2176.72,2250.526734327202
358,2020-01-30,602840000.0,2181.54,2187.45,2139.72,2148.0,2182.7082480924787
360,2020-02-03,836700000.0,2086.61,2126.73,2082.74,2118.88,2134.731519007543
364,2020-02-07,800340000.0,2221.49,2223.92,2198.14,2211.95,2223.0459598098014
365,2020-02-10,609570000.0,2185.63,2203.39,2180.51,2201.07,2205.9751706842712
367,2020-02-12,632460000.0,2225.95,2242.24,2214.77,2238.38,2229.5722500701804
369,2020-02-14,597220000.0,2232.71,2251.5,2221.9,2243.59,2242.7847598457406
371,2020-02-18,470420000.0,2225.98,2232.93,2205.21,2208.88,2239.6777873911337
374,2020-02-21,635470000.0,2165.65,2184.43,2160.28,2162.84,2199.586643695808
375,2020-02-24,948620000.0,2114.04,2120.06,2079.03,2079.04,2178.403452322275
376,2020-02-25,1570000000.0,2075.55,2105.49,2071.5,2103.61,2092.7104069938173
