iter	MAE
0	26.73821301
1	26.00285994
2	25.29954998
3	24.63564649
4	23.98042202
5	23.3676979
6	22.78089261
7	22.20770446
8	21.64545157
9	21.10742
10	20.59337612
11	20.12505642
12	19.65663804
13	19.21075244
14	18.783682
15	18.39114859
16	17.99546819
17	17.61339015
18	17.25718
19	16.89540452
20	16.57641607
21	16.26136306
22	15.94227542
23	15.66827453
24	15.39803089
25	15.11209851
26	14.8548495
27	14.58994994
28	14.33078028
29	14.08955936
30	13.86337732
31	13.60591205
32	13.40152951
33	13.19496514
34	12.99780826
35	12.82087726
36	12.62088323
37	12.42887565
38	12.22967438
39	12.07780812
40	11.91585546
41	11.76718264
42	11.6416871
43	11.48023272
44	11.35828995
45	11.22545527
46	11.09112897
47	10.96332593
48	10.82248694
49	10.72051042
50	10.60032938
51	10.50792528
52	10.40627333
53	10.31050631
54	10.20644782
55	10.09826021
56	10.01053368
57	9.920113153
58	9.832003312
59	9.745490649
60	9.643214285
61	9.556826292
62	9.485292418
63	9.393486998
64	9.329265764
65	9.256036599
66	9.196141077
67	9.12511252
68	9.06137653
69	9.0104564
70	8.943430932
71	8.891234289
72	8.822439269
73	8.767796963
74	8.72128209
75	8.662214198
76	8.60469957
77	8.566414088
78	8.51444068
79	8.476232037
80	8.425578223
81	8.387978804
82	8.327492798
83	8.280147327
84	8.246199173
85	8.21250054
86	8.171720738
87	8.122780956
88	8.087988966
89	8.059181028
90	8.01953186
91	7.987909099
92	7.946818531
93	7.904281631
94	7.871206887
95	7.823890506
96	7.796757791
97	7.762568111
98	7.744203328
99	7.705466006
100	7.661476579
101	7.62993017
102	7.605782263
103	7.58013712
104	7.542639292
105	7.52513396
106	7.503697112
107	7.478264319
108	7.446893391
109	7.426856568
110	7.415468329
111	7.387160778
112	7.358890571
113	7.341620797
114	7.31330304
115	7.284941959
116	7.25895743
117	7.235274512
118	7.20136855
119	7.188606615
120	7.171369123
121	7.156680145
122	7.133541792
123	7.110305805
124	7.08983521
125	7.079313177
126	7.070243347
127	7.051575988
128	7.041757032
129	7.022616349
130	7.008687051
131	6.990093346
132	6.970242595
133	6.936947844
134	6.920127405
135	6.899394832
136	6.871993228
137	6.863270257
138	6.838582726
139	6.811586631
140	6.777277469
141	6.756428881
142	6.743679815
143	6.715169134
144	6.697957839
145	6.680463437
146	6.654556984
147	6.647594212
148	6.638017438
149	6.622272975
150	6.616104585
151	6.609727147
152	6.579677326
153	6.567296931
154	6.540172463
155	6.514483543
156	6.498750265
157	6.485626057
158	6.465369449
159	6.444104847
160	6.439151963
161	6.412967725
162	6.383663021
163	6.377301119
164	6.371929794
165	6.365597574
166	6.344744978
167	6.332090541
168	6.301062345
169	6.286079711
170	6.261789519
171	6.235182024
172	6.219570689
173	6.195033077
174	6.176957078
175	6.158969241
176	6.142124115
177	6.123465986
178	6.119470431
179	6.097588212
180	6.080052347
181	6.06562492
182	6.061455971
183	6.050072216
184	6.046198329
185	6.030178282
186	6.026242091
187	6.00609081
188	6.000669819
189	5.996285443
190	5.991765406
191	5.987017422
192	5.98327858
193	5.960114282
194	5.945427543
195	5.927245523
196	5.916162607
197	5.89771961
198	5.870604243
199	5.849223381
200	5.834748426
201	5.827382354
202	5.82444028
203	5.807142323
204	5.804633289
205	5.796178215
206	5.793497639
207	5.788210345
208	5.768632467
209	5.748087618
210	5.733465549
211	5.730340607
212	5.727588229
213	5.721445168
214	5.712096146
215	5.694054415
216	5.691651672
217	5.683779578
218	5.676050059
219	5.674036372
220	5.66121069
221	5.659515713
222	5.655509841
223	5.651855993
224	5.64243663
225	5.639625789
226	5.633033086
227	5.616633782
228	5.61416067
229	5.611980276
230	5.608692228
231	5.606201169
232	5.593334267
233	5.590327191
234	5.584787039
235	5.579505912
236	5.571664312
237	5.558527812
238	5.549460479
239	5.544877073
240	5.542960735
241	5.538305149
242	5.535831085
243	5.532596994
244	5.528983592
245	5.527454093
246	5.524583743
247	5.520696272
248	5.515145809
249	5.502913482
250	5.501883131
251	5.495172007
252	5.487339591
253	5.485613385
254	5.483160344
255	5.481889114
256	5.479080224
257	5.476805434
258	5.46335504
259	5.450569432
260	5.441492933
261	5.439407338
262	5.434281902
263	5.430906597
264	5.420728469
265	5.413491119
266	5.411728962
267	5.41011456
268	5.408066551
269	5.405914586
270	5.389512769
271	5.387744901
272	5.382384209
273	5.372449703
274	5.361399126
275	5.359862669
276	5.358722539
277	5.347644326
278	5.34537018
279	5.339643486
280	5.330394504
281	5.329036533
282	5.324347181
283	5.322499076
284	5.320709696
285	5.318401227
286	5.316687283
287	5.313127978
288	5.311567039
289	5.306845721
290	5.305478706
291	5.301489776
292	5.293527207
293	5.291797916
294	5.283058504
295	5.274036298
296	5.272531173
297	5.268792588
298	5.263045695
299	5.262061371
300	5.253384828
301	5.243835022
302	5.24104179
303	5.239731975
304	5.238350717
305	5.237170495
306	5.235821279
307	5.228459666
308	5.223580227
309	5.220868747
310	5.210704022
311	5.207183719
312	5.199856259
313	5.198283486
314	5.197415231
315	5.189626888
316	5.176509842
317	5.174808037
318	5.173733338
319	5.156478752
320	5.150667815
321	5.149296321
322	5.148311014
323	5.142557739
324	5.131687268
325	5.127024236
326	5.125220414
327	5.12414942
328	5.117892157
329	5.103251034
330	5.101950276
