iter	Passed	Remaining
0	217	4353404
1	439	4396336
2	661	4410635
3	889	4445196
4	1129	4517129
5	1354	4513271
6	1583	4523159
7	1811	4526215
8	2036	4524326
9	2269	4536342
10	2498	4540268
11	2728	4544890
12	2954	4541958
13	3182	4542639
14	3418	4554019
15	3638	4544164
16	3857	4533809
17	4084	4534548
18	4311	4534164
19	4534	4530125
20	4757	4526491
21	4984	4526409
22	5216	4531195
23	5447	4534064
24	5676	4535358
25	5901	4533929
26	6130	4534643
27	6362	4538551
28	6589	4537926
29	6819	4539620
30	7049	4540734
31	7281	4543663
32	7509	4543926
33	7734	4542178
34	7959	4540075
35	8180	4536359
36	8415	4540365
37	8641	4539671
38	8867	4538353
39	9093	4537861
40	9320	4537180
41	9547	4537095
42	9775	4537114
43	10004	4537382
44	10229	4536410
45	10457	4536106
46	10684	4535918
47	10910	4535054
48	11133	4533120
49	11358	4532075
50	11582	4530534
51	11807	4529563
52	12035	4529618
53	12261	4529091
54	12489	4529233
55	12712	4527388
56	12934	4525338
57	13157	4524078
58	13390	4525716
59	13614	4524503
60	13841	4524196
61	14063	4522651
62	14291	4522696
63	14522	4523685
64	14745	4522220
65	14971	4521870
66	15198	4521794
67	15433	4523805
68	15661	4523806
69	15889	4524077
70	16114	4523289
71	16343	4523543
72	16569	4523090
73	16804	4524916
74	17027	4523555
75	17259	4524676
76	17490	4525571
77	17715	4524666
78	17939	4523781
79	18161	4522192
80	18390	4522487
81	18611	4520764
82	18837	4520297
83	19070	4521407
84	19300	4522093
85	19523	4520790
86	19759	4522591
87	19983	4521628
88	20213	4522077
89	20441	4522113
90	20666	4521463
91	20902	4523048
92	21126	4522110
93	21351	4521576
94	21574	4520375
95	21802	4520393
96	22026	4519569
97	22249	4518366
98	22481	4519305
99	22711	4519580
100	22939	4519474
101	23163	4518687
102	23394	4519304
103	23624	4519544
104	23852	4519454
105	24076	4518648
106	24302	4518224
107	24525	4517219
108	24753	4517169
109	24980	4516984
110	25208	4516939
111	25441	4517673
112	25668	4517481
113	25901	4518150
114	26130	4518332
115	26361	4518683
116	26586	4518068
117	26815	4518253
118	27046	4518616
119	27276	4518800
120	27507	4519250
121	27739	4519698
122	27967	4519665
123	28199	4520181
124	28421	4519085
125	28652	4519407
126	28877	4518702
127	29104	4518460
128	29333	4518493
129	29561	4518288
130	29790	4518363
131	30027	4519548
132	30260	4520130
133	30488	4520000
134	30713	4519414
135	30942	4519392
136	31169	4519171
137	31399	4519267
138	31620	4518138
139	31846	4517696
140	32083	4518825
141	32308	4518237
142	32534	4517782
143	32763	4517761
144	32988	4517121
145	33217	4517127
146	33440	4516320
147	33665	4515699
148	33888	4514930
149	34117	4514924
150	34346	4514914
151	34570	4514131
152	34803	4514718
153	35033	4514791
154	35259	4514360
155	35492	4514843
156	35721	4514843
157	35951	4514890
158	36181	4514979
159	36417	4515798
160	36640	4514979
161	36868	4514740
162	37096	4514609
163	37323	4514304
164	37555	4514629
165	37784	4514575
166	38017	4514950
167	38245	4514778
168	38471	4514399
169	38703	4514669
170	38925	4513779
171	39159	4514291
172	39394	4514880
173	39625	4515063
174	39857	4515233
175	40089	4515565
176	40317	4515344
177	40547	4515374
178	40771	4514677
179	40999	4514489
180	41228	4514428
181	41458	4514456
182	41682	4513808
183	41912	4513751
184	42138	4513385
185	42373	4513892
186	42597	4513264
187	42827	4513290
