iter	Passed	Remaining
0	7	2082
1	16	2323
2	25	2437
3	34	2461
4	44	2531
5	52	2506
6	64	2593
7	74	2610
8	83	2592
9	93	2614
10	101	2568
11	111	2576
12	119	2548
13	129	2557
14	139	2555
15	150	2568
16	161	2593
17	171	2587
18	181	2588
19	191	2579
20	201	2579
21	211	2571
22	220	2554
23	229	2545
24	239	2543
25	249	2535
26	260	2538
27	270	2531
28	280	2528
29	293	2541
30	303	2536
31	311	2513
32	321	2506
33	331	2492
34	340	2479
35	348	2456
36	355	2433
37	365	2423
38	375	2417
39	385	2408
40	393	2387
41	401	2373
42	409	2349
43	418	2342
44	427	2329
45	436	2316
46	445	2301
47	454	2289
48	463	2278
49	470	2258
50	479	2248
51	486	2228
52	496	2220
53	506	2213
54	514	2197
55	523	2186
56	533	2178
57	541	2165
58	550	2156
59	557	2135
60	562	2111
61	568	2091
62	576	2076
63	585	2068
64	594	2058
65	600	2037
66	605	2016
67	615	2007
68	622	1992
69	632	1987
70	641	1979
71	651	1972
72	660	1962
73	667	1949
74	676	1940
75	685	1930
76	692	1916
77	700	1904
78	707	1890
79	715	1878
80	720	1859
81	725	1840
82	731	1823
83	736	1806
84	743	1793
85	749	1778
86	759	1772
87	767	1761
88	775	1750
89	784	1742
90	795	1740
91	804	1730
92	813	1722
93	823	1717
94	833	1710
95	844	1705
96	851	1693
97	859	1682
98	867	1672
99	874	1661
100	881	1649
101	890	1640
102	898	1631
103	905	1620
104	912	1607
105	921	1599
106	928	1588
107	935	1576
108	944	1567
109	952	1558
110	958	1546
111	967	1538
112	975	1528
113	985	1522
114	994	1513
115	1003	1505
116	1013	1498
117	1023	1491
118	1031	1481
119	1042	1477
120	1052	1470
121	1061	1462
122	1072	1455
123	1081	1448
124	1093	1443
125	1103	1436
126	1113	1429
127	1123	1421
128	1133	1414
129	1143	1407
130	1154	1400
131	1164	1394
132	1173	1385
133	1182	1376
134	1193	1370
135	1205	1365
136	1216	1358
137	1226	1351
138	1236	1343
139	1246	1336
140	1256	1328
141	1266	1319
142	1275	1311
143	1290	1308
144	1301	1301
145	1310	1292
146	1319	1283
147	1325	1272
148	1334	1262
149	1341	1251
150	1350	1243
151	1360	1235
152	1370	1226
153	1380	1218
154	1387	1208
155	1398	1201
156	1405	1190
157	1413	1180
158	1420	1170
159	1426	1159
160	1434	1149
161	1441	1139
162	1449	1129
163	1460	1122
164	1470	1114
165	1481	1106
166	1488	1096
167	1495	1085
168	1501	1074
169	1508	1065
170	1516	1055
171	1524	1045
172	1533	1036
173	1541	1027
174	1548	1017
175	1554	1007
176	1562	997
177	1572	989
178	1582	981
179	1592	973
180	1602	965
181	1613	957
182	1623	949
183	1633	940
184	1641	931
185	1650	922
186	1658	913
187	1669	905
188	1677	896
189	1688	888
190	1695	878
191	1705	870
192	1714	861
193	1723	852
194	1731	843
195	1739	834
196	1748	825
197	1756	816
198	1768	808
199	1776	799
200	1786	790
201	1794	781
202	1804	773
203	1813	764
204	1823	756
205	1834	747
206	1845	739
207	1856	731
208	1867	723
209	1877	715
210	1886	706
211	1896	697
212	1904	688
213	1913	679
214	1921	670
215	1930	661
216	1938	652
217	1947	643
218	1957	634
219	1967	625
220	1976	617
221	1984	607
222	1994	599
223	2003	590
224	2014	581
225	2023	573
226	2032	564
227	2042	555
228	2053	547
229	2063	538
230	2072	529
231	2082	520
232	2091	511
233	2099	502
234	2109	493
235	2115	484
236	2125	475
237	2134	466
238	2143	457
239	2151	448
240	2160	439
241	2169	430
242	2178	421
243	2188	412
244	2197	403
245	2206	394
246	2215	385
247	2220	376
248	2228	366
249	2235	357
250	2244	348
251	2255	340
252	2267	331
253	2276	322
254	2289	314
255	2297	305
256	2306	296
257	2315	287
258	2326	278
259	2336	269
260	2346	260
261	2353	251
262	2361	242
263	2368	233
264	2374	224
265	2381	214
266	2388	205
267	2394	196
268	2402	187
269	2410	178
270	2419	169
271	2428	160
272	2435	151
273	2441	142
274	2446	133
275	2453	124
276	2460	115
277	2468	106
278	2476	97
279	2484	88
280	2491	79
281	2500	70
282	2509	62
283	2519	53
284	2526	44
285	2537	35
286	2546	26
287	2556	17
288	2567	8
289	2577	0
