iter	Logloss
0	0.682901995
1	0.6733184291
2	0.6634617048
3	0.6544296177
4	0.6464379883
5	0.6385860073
6	0.6310976563
7	0.6242569754
8	0.6177381417
9	0.6115856585
10	0.6058965541
11	0.5998169643
12	0.594960519
13	0.5901646205
14	0.5855951451
15	0.5816009347
16	0.5772398856
17	0.5733129185
18	0.5697208078
19	0.5665276925
20	0.563022147
21	0.5595931571
22	0.5568318569
23	0.5539033552
24	0.5509987444
25	0.5481026088
26	0.5455440151
27	0.5427800642
28	0.5408014439
29	0.5381583775
30	0.5356774205
31	0.5333840332
32	0.531271031
33	0.5289551828
34	0.5272287946
35	0.5254612514
36	0.5235990862
37	0.5224123186
38	0.5205750907
39	0.5190859026
40	0.5175107422
41	0.5162705776
42	0.5148154994
43	0.5134795619
44	0.5124040527
45	0.5112180525
46	0.5101732701
47	0.5091570173
48	0.5080049177
49	0.5068685128
50	0.5060421666
51	0.5052880162
52	0.504190046
53	0.5031561802
54	0.5023138253
55	0.5014783761
56	0.5005425502
57	0.5000317383
58	0.499070452
59	0.4981070731
60	0.4973302525
61	0.4964610073
62	0.4957450823
63	0.4949021345
64	0.4940388184
65	0.493371861
66	0.4926734096
67	0.4919168178
68	0.4912497559
69	0.4909468471
70	0.4903144531
71	0.489753697
72	0.4890433873
73	0.4884381278
74	0.4878984375
75	0.4873444475
76	0.4867682059
77	0.4859916992
78	0.485565639
79	0.4849543806
80	0.4843768834
81	0.484165911
82	0.4836455776
83	0.4831488909
84	0.4828275321
85	0.4824967215
86	0.4819995815
87	0.4816189314
88	0.4812364676
89	0.4807024623
90	0.4802736468
91	0.4799566825
92	0.4795996443
93	0.47921024
94	0.4787963518
95	0.4784504395
96	0.4778199289
97	0.477511928
98	0.47713637
99	0.4768615374
100	0.4764989537
101	0.4762396763
102	0.4758805106
103	0.4755405273
104	0.4751626325
105	0.4747488142
106	0.4743671177
107	0.4738877999
108	0.4732451869
109	0.4728575614
110	0.4723597935
111	0.4723164062
112	0.4719450335
113	0.47177982
114	0.4715093122
115	0.4712636719
116	0.4709089355
117	0.4705648368
118	0.4703454241
119	0.4701763044
120	0.4698842773
121	0.4694626814
122	0.4691996373
123	0.4687979562
124	0.4683946708
125	0.4681217913
126	0.4676255929
127	0.4671917201
128	0.4667689732
129	0.4664241071
130	0.4660638951
131	0.465609375
132	0.4651821987
133	0.4649862584
134	0.464744873
135	0.4645595006
136	0.4641833496
137	0.4640449219
138	0.4636968122
139	0.4634057617
140	0.4630552455
141	0.4628141044
142	0.4624720633
143	0.4620507812
144	0.4618665597
145	0.4616856864
146	0.4615020926
147	0.4611530413
148	0.4609961984
149	0.4605356445
150	0.4603944615
151	0.4601061663
152	0.4597456752
153	0.4594930246
154	0.4592202497
155	0.4588258231
156	0.4586418806
157	0.458332101
158	0.4579211077
159	0.4577023577
160	0.4575298549
161	0.457226423
162	0.4567691476
163	0.4563520508
164	0.4561581334
165	0.4558919155
166	0.4556958705
167	0.4555774275
168	0.4553142787
169	0.4550914481
170	0.4548031529
171	0.4545581752
172	0.4542378627
173	0.4539847935
174	0.453711635
175	0.4535270996
176	0.4532055315
177	0.4529868862
178	0.4527388393
179	0.4522843192
180	0.4521790946
181	0.4519093541
182	0.451711635
183	0.4512709263
184	0.4509462542
185	0.4505672433
186	0.4504402204
187	0.4501672712
188	0.4498031529
189	0.4495791016
190	0.4493970424
191	0.4493089425
192	0.4490867746
193	0.4488016532
194	0.4485573382
195	0.4481850586
196	0.4478955776
197	0.4476441476
198	0.4474511021
199	0.4471566685
200	0.4469100865
201	0.44674149
202	0.4463612584
203	0.4460640346
204	0.4459697963
205	0.4455613142
206	0.4452245745
207	0.4450703125
208	0.4448662807
209	0.4445387835
210	0.4442125419
211	0.4440316685
212	0.4437677176
213	0.4435639648
214	0.4433285435
215	0.4430776018
216	0.4428620257
217	0.4426311035
218	0.4422216099
219	0.4420370047
220	0.4419223982
221	0.4417431292
222	0.4415479213
223	0.4414207589
224	0.4411738281
225	0.4408273228
226	0.440511649
227	0.4403671875
228	0.4403392508
229	0.4401387068
230	0.4400157994
231	0.4398762556
232	0.4397796108
233	0.4396100028
234	0.439461635
235	0.4393300084
236	0.4392110421
237	0.4390201242
238	0.4387026018
239	0.4384716099
240	0.4381666434
241	0.4380214146
242	0.4378250209
243	0.4376133859
244	0.4374311523
245	0.4371935338
246	0.4369519043
247	0.4366660854
248	0.4363608747
249	0.4362071708
250	0.4359132952
251	0.4357320731
252	0.435624721
253	0.43551988
254	0.4351582031
255	0.4348530971
256	0.4344268276
257	0.43411649
258	0.4339445452
259	0.4335343192
260	0.4334642857
261	0.4333634208
262	0.4331315569
263	0.4329777134
264	0.4327904576
265	0.4325072545
266	0.4322412458
267	0.4319903041
268	0.4317663574
269	0.4315801828
270	0.4314739467
271	0.4312439314
272	0.4311379743
273	0.4309834333
274	0.4307744141
275	0.4305223214
276	0.430409947
277	0.4302640206
278	0.4300458984
279	0.4299614955
280	0.4297827148
281	0.429608817
282	0.42942613
283	0.429184361
284	0.4290731027
285	0.4288745117
286	0.4287779715
287	0.4285047433
288	0.4281303013
289	0.4278632115
290	0.4277381417
291	0.4275638253
292	0.4273480399
293	0.4271202567
294	0.426980678
295	0.4268171038
296	0.4265040458
297	0.4263442732
298	0.4260872977
299	0.4258797782
300	0.4257647531
301	0.4256074916
302	0.4253959263
303	0.4252444545
304	0.4251141183
305	0.4248449358
306	0.4246093052
307	0.4243617815
308	0.4239269671
309	0.4237542201
310	0.4234325823
311	0.4232529994
312	0.4229854213
313	0.422891183
314	0.4225404576
315	0.4222938756
316	0.422058245
317	0.4218741281
318	0.4216614816
319	0.421548584
320	0.4212368862
321	0.4209220145
322	0.4208295201
323	0.4206299526
324	0.4204707031
325	0.4202613002
326	0.4200412946
327	0.4198043387
328	0.4197301549
329	0.4192920968
330	0.419214495
331	0.4190172642
332	0.4188549456
333	0.4186449149
334	0.4183238351
335	0.4181158622
336	0.4179042271
337	0.4178195103
338	0.4175407017
339	0.4172165179
340	0.4170961914
341	0.4169904436
342	0.4168837891
343	0.4167305036
344	0.4166056083
345	0.4164188058
346	0.4162766113
347	0.4160496652
348	0.4159663783
349	0.4158330776
350	0.4157109375
351	0.4155727539
352	0.4152755301
353	0.4150869489
354	0.4147828892
355	0.4146152344
356	0.4143979841
357	0.4143072684
358	0.4139393136
359	0.4137422573
360	0.413369315
361	0.4132596261
362	0.4128805455
363	0.4128233119
364	0.4125111607
365	0.4122648228
366	0.4120089983
367	0.4117839007
368	0.4116381836
369	0.411466483
370	0.411237514
371	0.4109299665
372	0.4106234654
373	0.4103389718
374	0.4100182757
375	0.4099095982
376	0.4097120536
377	0.4093664202
378	0.4091238142
379	0.4088864049
380	0.4086609933
381	0.4083621652
382	0.4080313895
383	0.4078100237
384	0.4076274414
385	0.4073298689
386	0.4069813058
387	0.4067743094
388	0.4065310756
389	0.4061734445
390	0.4060333078
391	0.4055825195
392	0.4053587472
393	0.4050536761
394	0.4047384208
395	0.4045132533
396	0.4040538504
397	0.4038152902
398	0.4036661551
399	0.4034606934
400	0.4032466867
401	0.4028353097
402	0.4026337891
403	0.4025109863
404	0.4022384905
405	0.4020339704
406	0.4018689314
407	0.4017244699
408	0.4016635742
409	0.4014646694
410	0.4012239118
411	0.4009718541
412	0.4007890276
413	0.400607387
414	0.4004133998
415	0.4002311663
416	0.4000551409
417	0.3998768834
418	0.3997010672
419	0.3995312849
420	0.3993223703
421	0.3991478795
422	0.399101702
423	0.3990091378
424	0.3988811384
425	0.3986419503
426	0.3985105678
427	0.3982243304
428	0.3982130301
429	0.3979624372
430	0.3977583705
431	0.3976122349
432	0.3975109863
433	0.3972372349
434	0.3970958078
435	0.3968775112
436	0.3967736119
437	0.3964714355
438	0.3963669085
439	0.3963364258
440	0.3959202706
441	0.3957253767
442	0.3955066964
443	0.3953038504
444	0.395150007
445	0.3950741839
446	0.3948898577
447	0.394648298
448	0.3945166364
449	0.3943589216
450	0.394129255
451	0.393893764
452	0.393621303
453	0.3932377581
454	0.3930997838
455	0.3928043387
456	0.3926730957
457	0.3924819336
458	0.3923969378
459	0.3923789062
460	0.3921929408
461	0.392113072
462	0.3918839983
463	0.3916878488
464	0.3914094936
465	0.3913987863
466	0.3913785924
467	0.3911619699
468	0.3911015625
469	0.3910928083
470	0.3908392508
471	0.3904996164
472	0.3902746582
473	0.3900595703
474	0.3898644671
475	0.3898543178
476	0.3898388672
477	0.3896737584
478	0.3896033064
479	0.3894840262
480	0.3893819057
481	0.3891589704
482	0.3889041574
483	0.3885127999
484	0.3883709542
485	0.3881971261
486	0.3878021066
487	0.387735805
488	0.3875966099
489	0.3875814383
490	0.3874269671
491	0.38741476
492	0.3871797573
493	0.386874721
494	0.3867565569
495	0.386570173
496	0.3863761858
497	0.3863627232
498	0.3861387416
499	0.385964774
500	0.385569894
501	0.3855129743
502	0.3852995257
503	0.3849850028
504	0.3845368652
505	0.3845172991
506	0.3843416574
507	0.3841962891
508	0.3839676688
509	0.383954834
510	0.3835441546
511	0.3833624442
512	0.3831365095
513	0.3829819685
514	0.3828452497
515	0.3826782575
516	0.3825300642
517	0.3822446638
518	0.3819803641
519	0.3817998047
520	0.3815684291
521	0.3814415458
522	0.3810104632
523	0.380767055
524	0.3804248744
525	0.3800851702
526	0.3799560547
527	0.3799483817
528	0.3795341448
529	0.3795234375
530	0.3791936035
531	0.3790765206
532	0.3788809989
533	0.3788739886
534	0.3785948661
535	0.3785811244
536	0.3784475446
537	0.3784331752
538	0.3781827567
539	0.377959089
540	0.3776782575
541	0.377453125
542	0.3771523438
543	0.3768767787
544	0.3768632115
545	0.3765477818
546	0.3762815639
547	0.376070452
548	0.3757419782
549	0.375461635
550	0.3752488839
551	0.3748994141
552	0.3745975865
553	0.3743054199
554	0.3740328544
555	0.3738945312
556	0.3738878697
557	0.3736897321
558	0.3734376744
559	0.3731600865
560	0.372921596
561	0.3727694615
562	0.3724655413
563	0.3722820871
564	0.3721501814
565	0.3717938756
566	0.3715202288
567	0.371210798
568	0.370953683
569	0.3706976493
570	0.3704972447
571	0.3702282017
572	0.3699462193
573	0.3697137626
574	0.3693995536
575	0.3692174247
576	0.3690747768
577	0.3688529576
578	0.3686233956
579	0.368433245
580	0.3683533761
581	0.3682238421
582	0.3680064523
583	0.3676124442
584	0.3673123256
585	0.3670186942
586	0.3665954939
587	0.3663271484
588	0.3661270229
589	0.3657917829
590	0.3655292969
591	0.365273019
592	0.3650083008
593	0.3647986537
594	0.3644835728
595	0.364388079
596	0.3643769531
597	0.3641163504
598	0.3639183873
599	0.3637416295
600	0.3634311872
601	0.3633019671
602	0.3630471889
603	0.3628836496
604	0.3626967076
605	0.3626849191
606	0.3626743164
607	0.3624106445
608	0.3622737165
609	0.3620082659
610	0.3617935965
611	0.3615890416
612	0.3613304269
613	0.3610585937
614	0.3609109933
615	0.3607699149
616	0.3605509905
617	0.3605419573
618	0.360289481
619	0.359988909
620	0.3599785854
621	0.3599695173
622	0.3597829241
623	0.3595154157
624	0.3593305664
625	0.3591297782
626	0.3589219099
627	0.3588334263
628	0.3585329241
629	0.3582986189
630	0.3580983189
631	0.3578657924
632	0.3578539342
633	0.3575261579
634	0.3573372628
635	0.3572080776
636	0.3571046317
637	0.3570954241
638	0.3569553223
639	0.3566750488
640	0.3563912528
641	0.356226423
642	0.355915632
643	0.3555553153
644	0.3553826381
645	0.3551777344
646	0.3549844448
647	0.3548458426
648	0.3547143555
649	0.3544778878
650	0.3542316546
651	0.3539484515
652	0.3537562779
653	0.3535665458
654	0.3532792271
655	0.35311363
656	0.3528589565
657	0.3527782157
658	0.3526045619
659	0.352547433
660	0.3523145229
661	0.3519456613
662	0.3517096819
663	0.3515372838
664	0.351528704
665	0.3513617815
666	0.3512525809
667	0.3510815778
668	0.3509543806
669	0.3506091309
670	0.3504109235
671	0.3501991839
672	0.3499628906
673	0.3498720354
674	0.3496577148
675	0.3494243164
676	0.3492909459
677	0.3492828544
678	0.3491821289
679	0.3490315988
680	0.3489120396
681	0.3487283064
682	0.3483751395
683	0.3482091936
684	0.3478625488
685	0.3474173061
686	0.3473219866
687	0.3471816755
688	0.3469529855
689	0.3467378278
690	0.3466475656
691	0.3465555246
692	0.3463058384
693	0.3460555943
694	0.3459007045
695	0.3457552316
696	0.345410784
697	0.3451200126
698	0.3448985073
699	0.3447365374
700	0.3443957171
701	0.3441639579
702	0.3439078544
703	0.3436348005
704	0.3436277902
705	0.3434206194
706	0.343415632
707	0.3431851981
708	0.3430797642
709	0.3428927176
710	0.3427774135
711	0.3425526646
712	0.3422288644
713	0.3420183803
714	0.341822998
715	0.341784668
716	0.3416692592
717	0.3415083008
718	0.3412986189
719	0.3409864676
720	0.3407143555
721	0.3406031669
722	0.3404895368
723	0.34021024
724	0.3399524623
725	0.3397919922
726	0.3395933315
727	0.3395288783
728	0.3393578055
729	0.3393533412
730	0.3390784738
731	0.3388325195
732	0.3385805315
733	0.3383124302
734	0.3382013463
735	0.3379527065
736	0.3377824009
737	0.3376381138
738	0.3374350586
739	0.337207659
740	0.3372005092
741	0.3369891881
742	0.3367781459
743	0.3365603027
744	0.3364328962
745	0.3363382743
746	0.3361120954
747	0.3358775112
748	0.3356619699
749	0.3354029018
750	0.3352404436
751	0.3349782366
752	0.3347313058
753	0.3345936802
754	0.3345890765
755	0.3343995884
756	0.3342405134
757	0.3339677734
758	0.3338037807
759	0.3336598772
760	0.3334609375
761	0.3332856794
762	0.3330403878
763	0.3328196498
764	0.3326815011
765	0.3324861886
766	0.332277553
767	0.3320370047
768	0.3319185268
769	0.331706543
770	0.3315244838
771	0.3314061105
772	0.3311065499
773	0.3309780622
774	0.33074006
775	0.3306389509
776	0.3306320452
777	0.3304006696
778	0.3302768206
779	0.3299430804
780	0.3298023856
781	0.3295974819
782	0.3293678153
783	0.3293269043
784	0.3291694336
785	0.3290442592
786	0.3287773438
787	0.3285825893
788	0.3285689872
789	0.32833524
790	0.3281199777
791	0.3280294015
792	0.3277753906
793	0.3275132533
794	0.3275069754
795	0.3272340611
796	0.327054548
797	0.3269475098
798	0.3267879464
799	0.3267097517
800	0.3265216936
801	0.3264363142
802	0.3264260603
803	0.3263513532
804	0.3262181571
805	0.3260176828
806	0.325816476
807	0.3257223424
808	0.3256131766
809	0.3254917341
810	0.3252668457
811	0.3250907506
812	0.3249223284
813	0.3248208705
814	0.3246989397
815	0.3244747489
816	0.3243199289
817	0.3240955287
818	0.3238895438
819	0.3237388044
820	0.3235961217
821	0.3233936244
822	0.3232684152
823	0.323007952
824	0.3227333984
825	0.3224940011
826	0.3223700474
827	0.3222638114
828	0.3219891532
829	0.3217946777
830	0.3216116769
831	0.3214650181
832	0.3212315151
833	0.3211075614
834	0.3209448242
835	0.3208286133
836	0.32082244
837	0.3208177316
838	0.3205771136
839	0.320379255
840	0.3202339565
841	0.3200347377
842	0.3198489816
843	0.3196500767
844	0.3194734235
845	0.3193186384
846	0.3190852748
847	0.3190240304
848	0.3188358677
849	0.3186566685
850	0.3185553502
