iter	Passed	Remaining
0	19	288959
1	34	261764
2	51	255771
3	68	256426
4	85	255748
5	100	250851
6	115	247863
7	132	249090
8	148	246746
9	164	246625
10	180	245484
11	195	244694
12	211	243621
13	227	243698
14	244	244029
15	259	243042
16	275	243225
17	291	242597
18	306	241784
19	323	242171
20	339	242197
21	355	241748
22	371	241863
23	386	241348
24	402	241317
25	418	241245
26	434	240918
27	448	239989
28	463	239388
29	478	238777
30	493	238387
31	507	237588
32	522	237059
33	537	236746
34	553	236848
35	571	237397
36	585	236815
37	600	236535
38	615	236046
39	629	235592
40	644	234985
41	658	234501
42	673	234181
43	687	233552
44	700	232965
45	716	232941
46	733	233498
47	749	233576
48	766	233733
49	782	233990
50	798	234173
51	815	234427
52	836	235769
53	864	239362
54	897	243886
55	912	243391
56	926	242998
57	941	242526
58	956	242326
59	974	242690
60	988	242174
61	1005	242316
62	1021	242157
63	1036	241852
64	1050	241413
65	1065	241128
66	1079	240680
67	1094	240421
68	1110	240237
69	1124	239870
70	1138	239464
71	1153	239107
72	1167	238723
73	1182	238536
74	1197	238296
75	1211	237940
76	1227	237928
77	1242	237744
78	1256	237329
79	1270	237024
80	1284	236667
81	1300	236598
82	1315	236337
83	1330	236286
84	1346	236216
85	1360	235894
86	1374	235596
87	1389	235453
88	1405	235494
89	1420	235367
90	1435	235127
91	1450	235082
92	1465	234899
93	1480	234818
94	1496	234731
95	1511	234606
96	1524	234291
97	1539	234063
98	1554	233905
99	1572	234343
100	1587	234184
101	1602	233987
102	1616	233827
103	1630	233581
104	1645	233356
105	1659	233108
106	1673	232867
107	1688	232776
108	1701	232460
109	1715	232149
110	1731	232188
111	1747	232250
112	1762	232183
113	1777	232117
114	1792	232058
115	1809	232140
116	1824	232106
117	1839	232022
118	1854	231960
119	1869	231816
120	1883	231642
121	1897	231438
122	1912	231353
123	1927	231266
124	1942	231212
125	1957	231110
126	1972	230944
127	1985	230719
128	2004	231039
129	2022	231334
130	2036	231177
131	2051	231075
132	2066	231009
133	2082	231001
134	2097	230954
135	2112	230833
136	2127	230795
137	2142	230758
138	2157	230637
139	2172	230587
140	2187	230541
141	2201	230387
142	2218	230540
143	2234	230543
144	2248	230389
145	2264	230379
146	2279	230323
147	2293	230183
148	2308	230071
149	2323	229993
150	2338	229952
151	2352	229833
152	2368	229837
153	2384	229910
154	2399	229839
155	2414	229702
156	2428	229614
157	2443	229529
158	2458	229445
159	2474	229533
160	2489	229411
161	2503	229325
162	2518	229230
163	2532	229106
164	2548	229121
165	2566	229360
166	2581	229275
167	2595	229181
168	2610	229130
169	2626	229097
170	2641	229027
171	2655	228913
172	2670	228868
173	2685	228814
174	2699	228704
175	2714	228646
176	2729	228596
177	2744	228515
178	2759	228451
179	2773	228360
180	2788	228263
181	2803	228247
182	2818	228229
183	2833	228141
184	2848	228093
185	2863	228037
186	2878	228013
187	2893	227982
188	2909	228036
189	2924	227957
190	2940	227956
191	2957	228070
192	2972	228073
193	2987	228009
194	3002	227995
195	3018	227984
196	3033	227939
197	3047	227823
198	3062	227779
199	3076	227686
200	3090	227570
201	3105	227494
202	3119	227407
203	3138	227610
204	3155	227724
205	3170	227703
206	3185	227649
207	3200	227623
208	3215	227572
209	3231	227575
210	3246	227567
211	3262	227594
212	3277	227539
213	3292	227477
214	3307	227414
215	3322	227382
216	3337	227367
217	3354	227453
218	3368	227378
219	3384	227388
220	3399	227341
221	3416	227397
222	3430	227344
223	3446	227330
224	3460	227252
225	3476	227288
226	3491	227227
227	3506	227162
228	3521	227112
229	3536	227135
230	3555	227315
231	3571	227329
232	3585	227215
233	3601	227236
234	3617	227294
235	3631	227214
236	3646	227165
237	3661	227129
238	3676	227044
239	3690	226977
240	3705	226938
241	3720	226877
242	3735	226826
243	3749	226739
244	3763	226629
245	3777	226569
246	3792	226533
247	3807	226482
248	3821	226406
249	3843	226744
250	3861	226899
251	3878	227007
252	3895	227068
253	3910	227044
254	3924	226952
255	3940	226942
256	3955	226921
257	3970	226869
258	3984	226784
259	3998	226710
260	4013	226630
261	4027	226553
262	4041	226478
263	4056	226415
264	4070	226348
265	4086	226329
266	4100	226239
267	4115	226250
268	4132	226318
269	4147	226245
270	4162	226221
271	4176	226161
272	4191	226125
273	4207	226125
274	4223	226142
275	4240	226198
276	4255	226168
277	4270	226128
278	4285	226139
279	4301	226156
280	4317	226155
281	4333	226149
282	4348	226142
283	4363	226107
284	4378	226093
285	4393	226030
286	4408	226021
287	4424	225999
288	4439	225981
289	4454	225955
290	4469	225896
291	4484	225891
292	4499	225868
293	4515	225851
294	4532	225953
295	4550	226058
296	4566	226041
297	4580	226004
298	4595	225925
299	4610	225899
300	4625	225859
301	4640	225831
302	4654	225789
303	4669	225751
304	4684	225690
305	4698	225634
306	4713	225566
307	4727	225494
308	4741	225419
309	4757	225433
310	4773	225468
311	4788	225416
312	4803	225380
313	4817	225336
314	4833	225320
315	4848	225289
316	4864	225332
317	4879	225284
318	4898	225434
319	4913	225420
320	4928	225363
321	4942	225285
322	4956	225235
323	4972	225221
324	4989	225307
325	5005	225293
326	5020	225261
327	5034	225210
328	5049	225172
329	5063	225109
330	5078	225073
331	5093	225050
332	5108	225004
333	5122	224948
334	5138	224928
335	5153	224933
336	5169	224933
337	5185	224920
338	5200	224901
339	5215	224882
340	5231	224879
341	5246	224855
342	5261	224826
343	5276	224798
344	5292	224806
345	5306	224758
346	5322	224762
347	5337	224747
348	5352	224715
349	5368	224729
350	5384	224737
351	5399	224713
352	5414	224676
353	5430	224654
354	5445	224642
355	5460	224612
356	5475	224583
357	5490	224560
358	5506	224576
359	5521	224546
360	5540	224666
361	5555	224653
362	5570	224612
363	5584	224561
364	5600	224548
365	5615	224519
366	5630	224490
367	5645	224450
368	5659	224398
369	5674	224363
370	5688	224318
371	5703	224282
372	5718	224239
373	5732	224191
374	5747	224148
375	5762	224111
376	5777	224094
377	5792	224056
378	5806	224016
379	5821	223985
380	5836	223928
381	5850	223872
382	5864	223819
383	5879	223792
384	5894	223752
385	5909	223751
386	5924	223705
387	5939	223670
388	5954	223635
389	5968	223597
390	5983	223545
391	5997	223506
392	6012	223453
393	6026	223407
394	6041	223368
395	6055	223331
396	6070	223310
397	6086	223305
398	6101	223280
399	6117	223286
400	6133	223306
401	6149	223292
402	6164	223290
403	6180	223307
404	6195	223270
405	6211	223259
406	6226	223250
407	6241	223218
408	6255	223162
409	6270	223128
410	6284	223072
411	6299	223053
412	6315	223054
413	6330	223020
414	6344	222975
415	6359	222937
416	6373	222891
417	6387	222837
418	6402	222790
419	6417	222786
420	6432	222766
421	6448	222751
422	6462	222717
423	6477	222666
424	6491	222621
425	6509	222693
426	6526	222743
427	6541	222728
428	6557	222721
429	6572	222689
430	6586	222641
431	6600	222587
432	6615	222549
433	6629	222495
434	6643	222445
435	6658	222406
436	6673	222388
437	6688	222358
438	6703	222348
439	6718	222318
440	6734	222323
441	6748	222270
442	6763	222249
443	6778	222220
444	6792	222152
445	6808	222189
446	6823	222150
447	6837	222108
448	6851	222049
449	6866	222017
450	6881	221991
451	6895	221944
452	6910	221922
453	6925	221893
454	6940	221869
455	6955	221853
456	6970	221812
457	6985	221789
458	7000	221764
459	7015	221750
460	7030	221726
461	7045	221692
462	7060	221667
463	7075	221658
464	7090	221633
465	7105	221598
466	7119	221558
467	7133	221508
468	7148	221485
469	7163	221444
470	7177	221398
471	7192	221376
472	7206	221330
473	7221	221295
474	7235	221257
475	7250	221232
476	7265	221210
477	7280	221174
478	7295	221164
479	7310	221133
480	7324	221093
481	7339	221073
482	7354	221034
483	7370	221047
484	7385	221030
485	7399	220979
486	7413	220935
487	7428	220903
488	7442	220860
489	7456	220814
490	7471	220779
491	7485	220738
492	7500	220697
493	7516	220729
494	7533	220755
495	7547	220708
496	7561	220665
497	7576	220625
498	7591	220595
499	7605	220555
500	7619	220509
501	7634	220496
502	7648	220447
503	7663	220417
504	7677	220379
505	7693	220372
506	7707	220331
507	7723	220324
508	7738	220299
509	7753	220291
510	7770	220325
511	7786	220343
512	7802	220337
513	7817	220321
514	7832	220284
515	7847	220283
516	7861	220241
517	7876	220206
518	7890	220163
519	7904	220123
520	7920	220110
521	7935	220107
522	7949	220060
523	7964	220023
524	7978	219987
525	7993	219949
526	8007	219909
527	8022	219885
528	8037	219870
529	8051	219826
530	8067	219823
531	8082	219803
532	8096	219766
533	8111	219745
534	8126	219706
535	8141	219698
536	8156	219675
537	8171	219646
538	8186	219645
539	8203	219662
540	8218	219643
541	8231	219587
542	8246	219551
543	8260	219521
544	8275	219486
545	8290	219459
546	8304	219421
547	8319	219393
548	8334	219371
549	8348	219345
550	8367	219409
551	8381	219365
552	8396	219349
553	8410	219322
554	8425	219294
555	8440	219274
556	8454	219235
557	8469	219200
558	8484	219189
559	8500	219186
560	8518	219251
561	8533	219233
562	8549	219232
563	8564	219209
564	8580	219214
565	8595	219189
566	8610	219170
567	8625	219152
568	8639	219123
569	8654	219089
570	8668	219062
571	8683	219033
572	8698	219000
573	8712	218961
574	8727	218941
575	8741	218903
576	8757	218913
577	8771	218875
578	8785	218817
579	8800	218806
580	8814	218759
581	8828	218716
582	8842	218676
583	8857	218650
584	8871	218612
585	8886	218577
586	8901	218562
587	8915	218524
588	8930	218500
589	8945	218471
590	8959	218436
591	8974	218431
592	8989	218401
593	9003	218367
594	9018	218330
595	9032	218301
596	9047	218271
597	9061	218226
598	9075	218191
599	9091	218186
600	9105	218155
601	9119	218117
602	9133	218079
603	9148	218054
604	9163	218025
605	9177	217990
606	9192	217961
607	9206	217927
608	9220	217885
