iter	MultiClass
0	1.779421528
1	1.767869891
2	1.756072666
3	1.744698991
4	1.733532465
5	1.722255195
6	1.711833164
7	1.701276848
8	1.690635414
9	1.680552446
10	1.670841188
11	1.66120702
12	1.652335017
13	1.642912814
14	1.633810144
15	1.624893039
16	1.616590666
17	1.608237804
18	1.600120913
19	1.591298579
20	1.583293321
21	1.575537135
22	1.567556719
23	1.559894684
24	1.552542453
25	1.545467444
26	1.538532551
27	1.531247687
28	1.524391347
29	1.517720124
30	1.510997643
31	1.504166461
32	1.497583593
33	1.491223269
34	1.484739545
35	1.478430623
36	1.471969694
37	1.465918628
38	1.460341659
39	1.454381199
40	1.448988848
41	1.443107629
42	1.43752215
43	1.432014267
44	1.426708074
45	1.421382114
46	1.415995622
47	1.411165294
48	1.405976185
49	1.401308064
50	1.396441683
51	1.391744144
52	1.386938301
53	1.382212762
54	1.377763285
55	1.373315214
56	1.368684555
57	1.364246693
58	1.360025394
59	1.356000489
60	1.35183705
61	1.347675761
62	1.343486948
63	1.339102141
64	1.335132055
65	1.33108174
66	1.326859054
67	1.322972166
68	1.31909453
69	1.315130212
70	1.311544402
71	1.307800707
72	1.304126381
73	1.300529784
74	1.296896577
75	1.29347937
76	1.289983617
77	1.286548102
78	1.283273823
79	1.27992624
80	1.276545153
81	1.273257489
82	1.269947885
83	1.266676179
84	1.263461021
85	1.260436667
86	1.257369531
87	1.254343351
88	1.251396214
89	1.248513236
90	1.24562116
91	1.242843249
92	1.239865054
93	1.236921726
94	1.234128682
95	1.231235344
96	1.228691592
97	1.226120171
98	1.223692428
99	1.221068512
100	1.21846912
101	1.215735026
102	1.213217828
103	1.210737374
104	1.208200406
105	1.20564863
106	1.203261281
107	1.200967459
108	1.198446463
109	1.196026579
110	1.193826285
111	1.191435346
112	1.18911947
113	1.18677219
114	1.184590506
115	1.182324913
116	1.180017602
117	1.177788677
118	1.175604734
119	1.173432398
120	1.171322853
121	1.169336603
122	1.167342525
123	1.165342239
124	1.163425442
125	1.161444587
126	1.15943058
127	1.157444217
128	1.155468446
129	1.153528541
130	1.151742267
131	1.149884554
132	1.148085916
133	1.146323866
134	1.144474118
135	1.14268247
136	1.140941484
137	1.139196866
138	1.137576739
139	1.135946628
140	1.134179362
141	1.132458308
142	1.130810722
143	1.129062335
144	1.127405726
145	1.125806873
146	1.124295617
147	1.122705505
148	1.121057978
