iter	Logloss
0	0.5415641901
1	0.4868837767
2	0.4604212079
3	0.4451099965
4	0.4372949504
5	0.4314396453
6	0.426848911
7	0.4224522007
8	0.4195568594
9	0.4177811264
10	0.4159920842
11	0.4141150446
12	0.4124858349
13	0.4107062783
14	0.4087058105
15	0.4073801111
16	0.4063699636
17	0.4054075736
18	0.4040449414
19	0.4031167013
20	0.4022913236
21	0.4015105332
22	0.4000888966
23	0.3995720724
24	0.3981190174
25	0.3974139108
26	0.3961581667
27	0.3953274203
28	0.3947390248
29	0.3940144727
30	0.3932367399
31	0.3926379396
32	0.392019711
33	0.3914126377
34	0.3908802061
35	0.3902253243
36	0.3896714907
37	0.3890383763
38	0.3885415492
39	0.3881163965
40	0.3876418639
41	0.3872361596
42	0.386809269
43	0.3863001942
44	0.385853913
45	0.3854593809
46	0.3849780348
47	0.3846622184
48	0.3843315291
49	0.3839583865
50	0.3835318852
51	0.3835202809
52	0.3835177584
53	0.3833620688
54	0.3830997421
55	0.3830914256
56	0.3830844503
57	0.3830755725
58	0.3830733198
59	0.3827800026
60	0.3824780481
61	0.3823831536
62	0.3820588003
63	0.3820517713
64	0.3820294858
65	0.3820272257
66	0.3817536111
67	0.3817428209
68	0.3816104125
69	0.3813083457
70	0.3811710276
71	0.3806820077
72	0.3805736671
73	0.380570315
74	0.3804138334
75	0.3804074823
76	0.380123718
77	0.3801204304
78	0.3801173352
79	0.3798972018
80	0.3798146928
81	0.3795404435
82	0.3795402038
83	0.3795239187
84	0.3792581937
85	0.3786771255
86	0.378672354
87	0.3786693553
88	0.3786645412
89	0.3786616878
