iter	Passed	Remaining
0	5	1037
1	7	663
2	9	537
3	10	478
4	12	439
5	14	415
6	16	398
7	17	384
8	19	373
9	21	361
10	22	352
11	24	343
12	26	336
13	27	329
14	29	323
15	31	318
16	32	313
17	34	311
18	36	306
19	37	302
20	39	298
21	41	294
22	42	291
23	44	288
24	45	285
25	47	282
26	49	280
27	51	277
28	52	274
29	54	271
30	55	268
31	57	266
32	59	263
33	60	261
34	62	258
35	64	256
36	65	254
37	67	252
38	69	250
39	70	248
40	72	246
41	74	243
42	75	241
43	77	239
44	79	238
45	81	236
46	82	234
47	84	232
48	86	230
49	87	228
50	89	226
51	91	224
52	92	222
53	94	220
54	96	218
55	97	216
56	99	214
57	101	212
58	102	210
59	104	208
60	105	206
61	107	204
62	109	203
63	110	201
64	112	199
65	114	197
66	115	195
67	117	193
68	119	191
69	120	189
70	122	188
71	124	186
72	125	184
73	127	182
74	129	180
75	130	178
76	132	177
77	134	175
78	135	173
79	137	171
80	139	169
81	140	168
82	142	166
83	143	164
84	145	162
85	147	160
86	148	159
87	150	157
88	152	155
89	153	153
90	155	151
91	156	150
92	158	148
93	160	146
94	161	144
95	163	143
96	165	141
97	166	139
98	168	137
99	170	136
100	171	134
101	173	132
102	174	130
103	176	128
104	178	127
105	179	125
106	181	123
107	183	122
108	184	120
109	186	118
110	187	116
111	189	115
112	191	113
113	192	111
114	194	109
115	196	108
116	197	106
117	199	104
118	201	103
119	202	101
120	204	99
121	205	97
122	207	96
123	209	94
124	210	92
125	212	91
126	214	89
127	215	87
128	217	85
129	219	84
130	220	82
131	222	80
132	223	79
133	225	77
134	227	75
135	228	74
136	230	72
137	232	70
138	233	68
139	235	67
140	236	65
141	238	63
142	240	62
143	242	60
144	243	58
145	245	57
146	246	55
147	248	53
148	250	52
149	251	50
150	253	48
151	254	46
152	256	45
153	258	43
154	259	41
155	261	40
156	262	38
157	264	36
158	266	35
159	267	33
160	269	31
161	270	30
162	272	28
163	274	26
164	275	25
165	277	23
166	278	21
167	280	20
168	282	18
169	283	16
170	285	15
171	286	13
172	288	11
173	290	10
174	291	8
175	293	6
176	295	5
177	296	3
178	298	1
179	299	0
